episode_id,player_idx,final_label,window_size,t_soft,phase_t_soft,delta_own_ship_ratio,start_own_ship_ratio,delta_own_prod_ratio,start_own_prod_ratio,delta_own_planet_ratio,start_own_planet_ratio,delta_ship_gap,start_ship_gap,delta_prod_gap,start_prod_gap,delta_n_own_planets,start_n_own_planets,delta_n_neutral_planets,start_n_neutral_planets,delta_n_enemy_planets,start_n_enemy_planets,delta_own_ships_total,start_own_ships_total,delta_own_prod_total,start_own_prod_total,delta_mean_own_ships,start_mean_own_ships,delta_max_own_ships,start_max_own_ships,delta_std_own_ships,start_std_own_ships,delta_own_fleets_count,start_own_fleets_count,delta_own_fleets_ships,start_own_fleets_ships,delta_enemy_fleets_count,start_enemy_fleets_count,delta_enemy_fleets_ships,start_enemy_fleets_ships,delta_fleet_balance,start_fleet_balance,delta_own_under_threat_count,start_own_under_threat_count,delta_own_under_threat_ships,start_own_under_threat_ships,delta_enemy_contested_count,start_enemy_contested_count,delta_neutral_contested_count,start_neutral_contested_count,delta_incoming_enemy_to_own,start_incoming_enemy_to_own,delta_incoming_own_reinforce,start_incoming_own_reinforce,delta_net_incoming_own,start_net_incoming_own,delta_closest_threat_dist,start_closest_threat_dist
75368665,0,0,12,12,0.16,0.010199999999999997,0.0217,0.0,0.0556,0.0,0.0417,-5.0,0.0,-5.0,0.0,0.0,1.0,-1.0,22.0,1.0,1.0,4.0,10.0,0.0,4.0,4.0,10.0,4.0,10.0,0.0,0.0,3.0,0.0,24.0,0.0,1.0,0.0,11.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75368665,1,1,12,12,0.16,0.021599999999999998,0.0217,0.0694,0.0556,0.0416,0.0417,5.0,0.0,5.0,0.0,1.0,1.0,-1.0,22.0,0.0,1.0,9.0,10.0,5.0,4.0,-0.5,10.0,8.0,10.0,12.02,0.0,1.0,0.0,11.0,0.0,3.0,0.0,24.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75372594,0,1,28,41,0.2929,0.1928,0.0285,0.22119999999999998,0.0673,0.25,0.0625,144.0,4.0,13.0,0.0,8.0,2.0,-12.0,28.0,4.0,2.0,169.0,28.0,23.0,7.0,5.699999999999999,14.0,28.0,14.0,13.79,0.0,2.0,2.0,58.0,32.0,53.0,5.0,1049.0,91.0,-991.0,-59.0,6.0,0.0,92.0,0.0,0.0,0.0,2.0,2.0,609.0,0.0,0.0,0.0,-609.0,0.0,-0.8883,1.0
75372594,1,0,28,41,0.2929,0.0307,0.0244,0.09620000000000001,0.0673,0.125,0.0625,-144.0,-4.0,-13.0,0.0,4.0,2.0,-12.0,28.0,8.0,2.0,25.0,24.0,10.0,7.0,-3.83,12.0,6.0,12.0,5.34,0.0,53.0,5.0,1049.0,91.0,2.0,2.0,58.0,32.0,991.0,59.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,2.0,0.0,0.0,54.0,0.0,54.0,0.0,0.0,1.0
75375338,0,1,79,357,0.9061,0.09739999999999999,0.4463,0.04409999999999997,0.4559,0.0,0.3611,336.0,135.0,10.0,4.0,0.0,13.0,4.0,10.0,-4.0,13.0,295.0,420.0,3.0,31.0,22.689999999999998,32.31,-32.0,186.0,-2.4399999999999977,48.0,-5.0,14.0,-32.0,214.0,-21.0,27.0,-688.0,752.0,656.0,-538.0,-3.0,4.0,-12.0,41.0,1.0,4.0,0.0,1.0,-333.0,388.0,-52.0,56.0,281.0,-332.0,0.2138,0.0584
75375338,1,0,79,357,0.9061,-0.11730000000000002,0.3029,-0.10300000000000004,0.3971,-0.11109999999999998,0.3611,-336.0,-135.0,-10.0,-4.0,-4.0,13.0,4.0,10.0,0.0,13.0,-41.0,285.0,-7.0,27.0,5.189999999999998,21.92,6.0,74.0,-2.1899999999999977,24.79,-21.0,27.0,-688.0,752.0,-5.0,14.0,-32.0,214.0,-656.0,538.0,0.0,2.0,15.0,22.0,-3.0,7.0,-1.0,2.0,20.0,134.0,-284.0,290.0,-304.0,156.0,0.0333,0.0247
75398399,0,1,20,20,0.1681,0.046299999999999994,0.0132,0.1125,0.05,0.0938,0.0312,-27.0,0.0,6.0,0.0,3.0,1.0,-4.0,30.0,1.0,1.0,38.0,10.0,9.0,4.0,2.0,10.0,17.0,10.0,10.89,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75398399,1,0,20,20,0.1681,0.0797,0.0132,0.03749999999999999,0.05,0.0313,0.0312,27.0,0.0,-6.0,0.0,1.0,1.0,-4.0,30.0,3.0,1.0,65.0,10.0,3.0,4.0,27.5,10.0,32.0,10.0,6.36,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75560041,0,0,40,148,0.7437,-0.04820000000000002,0.2363,-0.09719999999999995,0.3611,-0.06259999999999999,0.3438,-198.0,-173.0,-16.0,-9.0,-2.0,11.0,-2.0,7.0,4.0,14.0,-37.0,224.0,-7.0,26.0,0.4200000000000017,20.36,10.0,48.0,0.9199999999999999,14.87,1.0,10.0,14.0,126.0,4.0,9.0,45.0,127.0,-31.0,-1.0,0.0,1.0,4.0,8.0,0.0,5.0,1.0,1.0,-6.0,45.0,-9.0,9.0,-3.0,-36.0,-0.006699999999999998,0.0749
75560041,1,1,40,144,0.7236,0.008399999999999963,0.4741,0.09729999999999994,0.4444,0.125,0.375,-56.0,273.0,12.0,3.0,4.0,12.0,-2.0,7.0,-2.0,13.0,-53.0,494.0,7.0,32.0,-13.610000000000003,41.17,-21.0,86.0,-10.690000000000001,30.25,9.0,6.0,113.0,116.0,-3.0,12.0,-8.0,131.0,121.0,-15.0,1.0,1.0,21.0,14.0,3.0,3.0,-1.0,1.0,45.0,68.0,137.0,0.0,92.0,-68.0,0.15100000000000002,0.1482
75608555,0,1,22,22,0.1447,0.005100000000000002,0.0113,0.0694,0.0139,0.0357,0.0357,2.0,0.0,5.0,0.0,1.0,1.0,-1.0,26.0,0.0,1.0,4.0,10.0,5.0,1.0,-3.0,10.0,3.0,10.0,8.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75608555,1,0,22,22,0.1447,0.002700000000000001,0.0113,0.0,0.0139,0.0,0.0357,-2.0,0.0,-5.0,0.0,0.0,1.0,-1.0,26.0,1.0,1.0,2.0,10.0,0.0,1.0,2.0,10.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75614274,0,0,24,89,0.7355,-0.1126,0.3219,-0.0519,0.3158,-0.031200000000000006,0.2812,-275.0,53.0,-11.0,-7.0,-2.0,9.0,-3.0,11.0,1.0,12.0,-97.0,281.0,-5.0,24.0,-4.93,31.22,-33.0,81.0,-10.02,27.93,6.0,6.0,66.0,108.0,0.0,17.0,-21.0,216.0,87.0,-108.0,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,-21.0,102.0,121.0,27.0,142.0,-75.0,0.038200000000000005,0.0453
75614274,1,1,24,79,0.6529,0.0872,0.3865,-0.02639999999999998,0.5132,0.0,0.4375,72.0,182.0,-8.0,23.0,0.0,14.0,-2.0,11.0,2.0,7.0,95.0,310.0,-2.0,39.0,6.789999999999999,22.14,51.0,55.0,13.489999999999998,15.73,7.0,6.0,156.0,76.0,-2.0,7.0,-13.0,92.0,169.0,-16.0,-1.0,1.0,-4.0,4.0,2.0,1.0,0.0,2.0,-35.0,84.0,84.0,20.0,119.0,-64.0,0.0542,0.0266
75653796,0,0,43,162,0.75,0.013000000000000012,0.3927,-0.17569999999999997,0.5132,-0.1632,0.4688,45.0,-62.0,-27.0,8.0,-4.0,15.0,3.0,4.0,5.0,13.0,198.0,269.0,-12.0,39.0,24.520000000000003,17.93,81.0,40.0,24.58,8.79,7.0,6.0,77.0,81.0,7.0,9.0,76.0,119.0,1.0,-38.0,-2.0,3.0,-28.0,44.0,3.0,4.0,0.0,0.0,0.0,71.0,51.0,20.0,51.0,-51.0,0.023299999999999994,0.0367
75653796,1,1,43,160,0.7407,0.09340000000000004,0.3571,0.10260000000000002,0.4474,0.066,0.4062,184.0,-83.0,17.0,-2.0,4.0,13.0,3.0,4.0,-3.0,15.0,241.0,210.0,10.0,34.0,10.380000000000003,16.15,12.0,52.0,4.360000000000001,13.69,1.0,13.0,1.0,182.0,8.0,6.0,72.0,102.0,-71.0,80.0,-1.0,2.0,-33.0,39.0,0.0,6.0,-2.0,2.0,-1.0,82.0,22.0,69.0,23.0,-13.0,0.0303,0.0215
75665474,0,1,13,13,0.1625,-0.0049,0.0131,0.053500000000000006,0.0179,0.0313,0.0312,3.0,0.0,3.0,0.0,1.0,1.0,-1.0,30.0,0.0,1.0,-4.0,10.0,3.0,1.0,-7.0,10.0,-5.0,10.0,2.83,0.0,0.0,0.0,0.0,0.0,2.0,0.0,62.0,0.0,-62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75665474,1,0,13,13,0.1625,-0.009000000000000001,0.0131,0.0,0.0179,0.0,0.0312,-3.0,0.0,-3.0,0.0,0.0,1.0,-1.0,30.0,1.0,1.0,-7.0,10.0,0.0,1.0,-7.0,10.0,-7.0,10.0,0.0,0.0,2.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75672648,0,0,33,81,0.488,-0.22810000000000002,0.4859,-0.1346,0.4231,-0.15000000000000002,0.45,-392.0,82.0,-22.0,0.0,-3.0,9.0,-2.0,2.0,5.0,9.0,-214.0,379.0,-7.0,22.0,-14.61,42.11,-17.0,123.0,-7.229999999999997,46.57,12.0,0.0,124.0,0.0,4.0,4.0,35.0,27.0,89.0,-27.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,5.0,66.0,0.0,50.0,-5.0,-0.5065,0.5584
75672648,1,1,33,74,0.4458,0.24269999999999997,0.2768,0.20329999999999998,0.4038,0.14169999999999994,0.4,277.0,-109.0,14.0,5.0,5.0,8.0,-1.0,5.0,0.0,7.0,262.0,165.0,13.0,21.0,12.23,20.62,73.0,54.0,20.09,18.84,8.0,2.0,75.0,16.0,12.0,1.0,88.0,10.0,-13.0,6.0,1.0,0.0,9.0,0.0,4.0,0.0,0.0,1.0,54.0,0.0,12.0,3.0,-42.0,3.0,-0.9158,1.0
75674654,0,0,39,150,0.7576,0.028499999999999998,0.1279,0.03509999999999999,0.1932,0.038199999999999984,0.1562,97.0,-296.0,8.0,-26.0,2.0,5.0,4.0,10.0,-2.0,17.0,55.0,148.0,4.0,17.0,-0.6000000000000014,29.6,-43.0,93.0,-20.36,35.98,-5.0,15.0,7.0,173.0,3.0,11.0,82.0,244.0,-75.0,-71.0,-2.0,2.0,-34.0,34.0,-1.0,3.0,-1.0,2.0,-27.0,106.0,67.0,61.0,94.0,-45.0,-0.1215,0.2263
75674654,1,1,39,150,0.7576,-0.0741,0.3838,-0.06469999999999998,0.4886,-0.11449999999999999,0.5312,-97.0,296.0,-8.0,26.0,-2.0,17.0,4.0,10.0,2.0,5.0,-42.0,444.0,-4.0,43.0,0.6799999999999997,26.12,26.0,73.0,9.489999999999998,20.78,3.0,11.0,82.0,244.0,-5.0,15.0,7.0,173.0,75.0,71.0,-2.0,2.0,-33.0,33.0,-2.0,4.0,0.0,2.0,-69.0,93.0,3.0,89.0,72.0,-4.0,0.4168,0.061
75678738,0,0,25,71,0.5591,-0.0819,0.2686,-0.07079999999999997,0.3833,-0.041700000000000015,0.2917,-255.0,49.0,-19.0,3.0,0.0,7.0,-3.0,11.0,7.0,6.0,-93.0,307.0,-3.0,23.0,-13.29,43.86,-66.0,140.0,-25.24,50.69,10.0,5.0,119.0,75.0,4.0,5.0,89.0,80.0,30.0,-5.0,0.0,1.0,0.0,12.0,6.0,0.0,-2.0,3.0,35.0,40.0,53.0,16.0,18.0,-24.0,-0.3075,0.3439
75678738,1,1,25,71,0.5591,0.14079999999999998,0.2257,0.22920000000000001,0.3333,0.2143,0.25,255.0,-49.0,19.0,-3.0,7.0,6.0,-3.0,11.0,0.0,7.0,162.0,258.0,16.0,20.0,-10.689999999999998,43.0,-31.0,129.0,-14.420000000000002,45.52,4.0,5.0,89.0,80.0,10.0,5.0,119.0,75.0,-30.0,5.0,1.0,0.0,9.0,0.0,1.0,2.0,2.0,2.0,86.0,0.0,12.0,11.0,-74.0,11.0,-0.9376,1.0
75682823,0,1,27,105,0.7721,0.2308,0.4374,0.16770000000000007,0.5156,0.16669999999999996,0.5,314.0,-91.0,18.0,4.0,2.0,14.0,-2.0,2.0,-4.0,12.0,-8.0,451.0,8.0,33.0,-4.52,32.21,45.0,59.0,11.790000000000001,15.87,7.0,7.0,34.0,92.0,1.0,2.0,30.0,20.0,4.0,72.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,15.0,17.0,69.0,0.0,54.0,-17.0,-0.6674,0.6996
75682823,1,0,27,105,0.7721,-0.19389999999999996,0.5257,-0.13640000000000002,0.4531,-0.0953,0.4286,-314.0,91.0,-18.0,-4.0,-4.0,12.0,-2.0,2.0,2.0,14.0,-322.0,542.0,-10.0,29.0,-17.67,45.17,-22.0,83.0,-4.16,24.68,1.0,2.0,30.0,20.0,7.0,7.0,34.0,92.0,-4.0,-72.0,0.0,1.0,-14.0,18.0,1.0,1.0,0.0,0.0,-35.0,92.0,15.0,3.0,50.0,-89.0,0.013499999999999998,0.0455
75684015,0,1,32,112,0.6871,0.09559999999999996,0.4602,0.013900000000000023,0.5543,0.0044999999999999485,0.5312,188.0,139.0,2.0,20.0,-2.0,17.0,0.0,5.0,-2.0,10.0,54.0,474.0,-1.0,51.0,7.320000000000004,27.88,-13.0,93.0,-4.620000000000001,26.98,-1.0,15.0,-80.0,262.0,0.0,20.0,-10.0,272.0,-70.0,-10.0,-1.0,3.0,-41.0,65.0,-1.0,3.0,1.0,0.0,-108.0,203.0,-109.0,227.0,-1.0,24.0,-0.021199999999999997,0.0544
75684015,1,0,32,112,0.6871,-0.11359999999999998,0.3252,-0.01880000000000004,0.337,-0.02679999999999999,0.3125,-188.0,-139.0,-2.0,-20.0,-2.0,10.0,0.0,5.0,-2.0,17.0,-134.0,335.0,-3.0,31.0,-8.379999999999999,33.5,13.0,85.0,2.900000000000002,27.81,0.0,20.0,-10.0,272.0,-1.0,15.0,-80.0,262.0,70.0,10.0,1.0,0.0,32.0,0.0,-1.0,6.0,-1.0,2.0,11.0,35.0,112.0,36.0,101.0,1.0,-0.027000000000000003,0.0609
75696094,0,0,38,109,0.5677,-0.03030000000000002,0.1912,-0.015600000000000003,0.25,-0.03570000000000001,0.2857,1.0,-162.0,-2.0,-18.0,-2.0,8.0,-2.0,8.0,0.0,12.0,-36.0,143.0,-2.0,17.0,-0.05000000000000071,17.88,-19.0,40.0,-7.249999999999999,10.62,-6.0,14.0,-105.0,236.0,21.0,10.0,291.0,116.0,-396.0,120.0,1.0,1.0,15.0,15.0,-2.0,5.0,-1.0,2.0,61.0,20.0,-31.0,90.0,-92.0,70.0,-0.16999999999999998,0.1944
