episode_id,n_players,n_steps,rewards_json,statuses_json,team_names_json,winners_idx,is_1v1,is_ffa4,is_draw,seed,episode_steps_max,shipSpeed,cometSpeed
75368665,2,76,"[-1, 1]","[""DONE"", ""DONE""]","[""synapse8891"", ""kovi""]",[1],True,False,False,720455350.0,500,6.0,4.0
75372144,4,212,"[-1, 1, -1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""mmath2"", ""kovi"", ""Shun_PI"", ""Ilja Grigorjev""]",[1],False,True,False,1918230544.0,500,6.0,4.0
75372594,2,141,"[1, -1]","[""DONE"", ""DONE""]","[""kovi"", ""ONYX WARS""]",[0],True,False,False,776030491.0,500,6.0,4.0
75375338,2,395,"[1, -1]","[""DONE"", ""DONE""]","[""kovi"", ""Shun_PI""]",[0],True,False,False,441690394.0,500,6.0,4.0
75398399,2,120,"[1, -1]","[""DONE"", ""DONE""]","[""kovi"", ""Bart Simpson""]",[0],True,False,False,1246246651.0,500,6.0,4.0
75556366,4,161,"[-1, 1, -1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""istinetz"", ""kovi"", ""HY2017"", ""Orbital Occle""]",[1],False,True,False,1534353659.0,500,6.0,4.0
75556510,4,500,"[-1, -1, 1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Orbital Occle"", ""glass_256"", ""ush"", ""kovi""]",[2],False,True,False,1937894603.0,500,6.0,4.0
75557254,4,137,"[-1, -1, 1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Erfan Eshratifar"", ""Orbital Occle"", ""HY2017"", ""kovi""]",[2],False,True,False,1820228129.0,500,6.0,4.0
75560041,2,200,"[-1, 1]","[""DONE"", ""DONE""]","[""Ezra"", ""Orbital Occle""]",[1],True,False,False,514362331.0,500,6.0,4.0
75571862,4,212,"[-1, 1, -1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Orbital Occle"", ""ush"", ""sash"", ""Ezra""]",[1],False,True,False,,500,6.0,4.0
75608555,2,153,"[1, -1]","[""DONE"", ""DONE""]","[""Orbital Occle"", ""Erfan Eshratifar""]",[0],True,False,False,,500,6.0,4.0
75610004,4,143,"[-1, 1, -1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""bowwowforeach"", ""Erfan Eshratifar"", ""kovi"", ""Orbital Occle""]",[1],False,True,False,,500,6.0,4.0
75614274,2,122,"[-1, 1]","[""DONE"", ""DONE""]","[""kovi"", ""Orbital Occle""]",[1],True,False,False,,500,6.0,4.0
75618884,4,207,"[-1, -1, -1, 1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Andrew Tratz"", ""c-number"", ""Orbital Occle"", ""sash""]",[3],False,True,False,,500,6.0,4.0
75624437,4,266,"[-1, -1, -1, 1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""HY2017"", ""Orbital Occle"", ""Ousagi"", ""Ezra""]",[3],False,True,False,,500,6.0,4.0
75632972,4,464,"[-1, -1, -1, 1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""sash"", ""Andrew Tratz"", ""Orbital Occle"", ""kovi""]",[3],False,True,False,,500,6.0,4.0
75641715,4,323,"[-1, -1, 1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Orbital Occle"", ""sash"", ""Erfan Eshratifar"", ""Shun_PI""]",[2],False,True,False,,500,6.0,4.0
75641802,4,234,"[1, -1, -1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Erfan Eshratifar"", ""kovi"", ""Ezra"", ""Orbital Occle""]",[0],False,True,False,,500,6.0,4.0
75642437,4,388,"[-1, -1, -1, 1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""bowwowforeach"", ""Orbital Occle"", ""kovi"", ""Erfan Eshratifar""]",[3],False,True,False,,500,6.0,4.0
75645971,4,171,"[-1, -1, 1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Saurabh Kumar234"", ""Guilherme Silva"", ""fgwiebfaoish"", ""\u2e3bAgentZZ \u2e3b""]",[2],False,True,False,,500,6.0,4.0
75648312,4,181,"[-1, -1, 1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Ezra"", ""fgwiebfaoish"", ""Orbital Occle"", ""ra5anchor""]",[2],False,True,False,,500,6.0,4.0
75648785,4,186,"[1, -1, -1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""bowwowforeach"", ""Orbital Occle"", ""HY2017"", ""ush""]",[0],False,True,False,,500,6.0,4.0
75649223,4,188,"[-1, -1, 1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Orbital Occle"", ""ush"", ""HY2017"", ""Boey""]",[2],False,True,False,,500,6.0,4.0
75649677,4,135,"[-1, -1, -1, 1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Ousagi"", ""TimeIsGold"", ""Orbital Occle"", ""HY2017""]",[3],False,True,False,,500,6.0,4.0
75653592,4,216,"[-1, -1, 1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Ezra"", ""Ousagi"", ""fgwiebfaoish"", ""HY2017""]",[2],False,True,False,,500,6.0,4.0
75653796,2,217,"[-1, 1]","[""DONE"", ""DONE""]","[""fgwiebfaoish"", ""HY2017""]",[1],True,False,False,,500,6.0,4.0
75665474,2,81,"[1, -1]","[""DONE"", ""DONE""]","[""fgwiebfaoish"", ""glass_256""]",[0],True,False,False,,500,6.0,4.0
75665680,4,500,"[1, -1, -1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Ezra"", ""Andrew Tratz"", ""Orbital Occle"", ""jack gell""]",[0],False,True,False,,500,6.0,4.0
75672648,2,167,"[-1, 1]","[""DONE"", ""DONE""]","[""Orbital Occle"", ""Shun_PI""]",[1],True,False,False,,500,6.0,4.0
75674654,2,199,"[-1, 1]","[""DONE"", ""DONE""]","[""Orbital Occle"", ""HY2017""]",[1],True,False,False,,500,6.0,4.0
75678738,2,128,"[-1, 1]","[""DONE"", ""DONE""]","[""Orbital Occle"", ""Shun_PI""]",[1],True,False,False,,500,6.0,4.0
75678884,4,490,"[-1, -1, -1, 1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""fgwiebfaoish"", ""ra5anchor"", ""Naoism"", ""c-number""]",[3],False,True,False,,500,6.0,4.0
75681966,4,144,"[-1, -1, 1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""kovi"", ""Orbital Occle"", ""HY2017"", ""mtmr_s1""]",[2],False,True,False,,500,6.0,4.0
75682275,4,174,"[-1, -1, -1, 1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""fgwiebfaoish"", ""\u8d75\u4e91\u9f99"", ""kovi"", ""Ezra""]",[3],False,True,False,,500,6.0,4.0
75682823,2,137,"[1, -1]","[""DONE"", ""DONE""]","[""fgwiebfaoish"", ""Ousagi""]",[0],True,False,False,,500,6.0,4.0
75684015,2,164,"[1, -1]","[""DONE"", ""DONE""]","[""kovi"", ""Orbital Occle""]",[0],True,False,False,,500,6.0,4.0
75692201,4,362,"[1, -1, -1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Ousagi"", ""Wenchong Huang"", ""fgwiebfaoish"", ""mtmr_s1""]",[0],False,True,False,,500,6.0,4.0
75693268,4,358,"[-1, -1, 1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Erfan Eshratifar"", ""Ousagi"", ""ush"", ""Orbital Occle""]",[2],False,True,False,,500,6.0,4.0
75693368,4,208,"[-1, -1, -1, 1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Orbital Occle"", ""HY2017"", ""fgwiebfaoish"", ""Erfan Eshratifar""]",[3],False,True,False,,500,6.0,4.0
75696094,2,193,"[-1, 1]","[""DONE"", ""DONE""]","[""Orbital Occle"", ""Erfan Eshratifar""]",[1],True,False,False,,500,6.0,4.0
75696709,4,127,"[-1, -1, -1, 1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""ush"", ""fgwiebfaoish"", ""Ezra"", ""kovi""]",[3],False,True,False,,500,6.0,4.0
75697081,2,134,"[-1, 1]","[""DONE"", ""DONE""]","[""mtmr_s1"", ""lookaside""]",[1],True,False,False,,500,6.0,4.0
75697366,4,223,"[-1, 1, -1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Ousagi"", ""Ezra"", ""Orbital Occle"", ""ush""]",[1],False,True,False,,500,6.0,4.0
75697432,2,258,"[-1, 1]","[""DONE"", ""DONE""]","[""F\u00e9lix Truong"", ""lookaside""]",[1],True,False,False,,500,6.0,4.0
75698121,2,159,"[-1, 1]","[""DONE"", ""DONE""]","[""Yiheng (Ethan) Cai"", ""lookaside""]",[1],True,False,False,,500,6.0,4.0
75699482,4,301,"[-1, -1, -1, 1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""lookaside"", ""bowwowforeach"", ""Orbital Occle"", ""Erfan Eshratifar""]",[3],False,True,False,,500,6.0,4.0
75699913,2,160,"[1, -1]","[""DONE"", ""DONE""]","[""Orbit Team"", ""lookaside""]",[0],True,False,False,,500,6.0,4.0
75700277,4,202,"[-1, 1, -1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""HY2017"", ""Orbital Occle"", ""kovi"", ""Ezra""]",[1],False,True,False,,500,6.0,4.0
75701419,2,169,"[-1, 1]","[""DONE"", ""DONE""]","[""ra5anchor"", ""lookaside""]",[1],True,False,False,,500,6.0,4.0
75701856,2,183,"[1, -1]","[""DONE"", ""DONE""]","[""Ezra"", ""lookaside""]",[0],True,False,False,,500,6.0,4.0
75706370,2,153,"[1, -1]","[""DONE"", ""DONE""]","[""Wenchong Huang"", ""lookaside""]",[0],True,False,False,,500,6.0,4.0
75709643,4,249,"[-1, -1, -1, 1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Erfan Eshratifar"", ""Orbital Occle"", ""lookaside"", ""Ezra""]",[3],False,True,False,,500,6.0,4.0
75710307,4,170,"[-1, 1, -1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Andrew Tratz"", ""kovi"", ""lookaside"", ""HY2017""]",[1],False,True,False,,500,6.0,4.0
75714286,4,367,"[1, -1, -1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Erfan Eshratifar"", ""Ezra"", ""Orbital Occle"", ""sash""]",[0],False,True,False,,500,6.0,4.0
75716279,4,230,"[-1, -1, -1, 1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""SalvadorDali"", ""Orbital Occle"", ""Ousagi"", ""HY2017""]",[3],False,True,False,,500,6.0,4.0
75717722,4,500,"[-1, 1, -1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Ascalon"", ""mtmr_s1"", ""fgwiebfaoish"", ""SalvadorDali""]",[1],False,True,False,,500,6.0,4.0
75731565,4,315,"[-1, -1, -1, 1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Ezra"", ""sash"", ""fgwiebfaoish"", ""HY2017""]",[3],False,True,False,,500,6.0,4.0
75733699,2,101,"[1, -1]","[""DONE"", ""DONE""]","[""fgwiebfaoish"", ""HY2017""]",[0],True,False,False,,500,6.0,4.0
75736695,2,116,"[-1, 1]","[""DONE"", ""DONE""]","[""lookaside"", ""HY2017""]",[1],True,False,False,,500,6.0,4.0
75738228,4,254,"[-1, -1, 1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""F\u00e9lix Truong"", ""Ousagi"", ""Wenchong Huang"", ""Orbital Occle""]",[2],False,True,False,,500,6.0,4.0
75743036,2,267,"[-1, 1]","[""DONE"", ""DONE""]","[""Ousagi"", ""Orbital Occle""]",[1],True,False,False,,500,6.0,4.0
75749145,4,320,"[1, -1, -1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]","[""Ousagi"", ""bowwowforeach"", ""Orbital Occle"", ""Shun_PI""]",[0],False,True,False,,500,6.0,4.0
75755341,2,186,"[1, -1]","[""DONE"", ""DONE""]","[""Ousagi"", ""Orbital Occle""]",[0],True,False,False,,500,6.0,4.0
75760975,2,170,"[-1, 1]","[""DONE"", ""DONE""]","[""Ousagi"", ""lookaside""]",[1],True,False,False,,500,6.0,4.0
75761040,2,148,"[-1, 1]","[""DONE"", ""DONE""]","[""Wenchong Huang"", ""fgwiebfaoish""]",[1],True,False,False,,500,6.0,4.0
