episode_id,size_bucket,n_planets,orbital_share,omega
75571862,small,24,0.3333,0.041486254608585
75608555,medium,28,0.4286,0.0482090390076648
75610004,medium,28,0.5714,0.0363190370041877
75614274,medium,28,0.4286,0.0448620197014397
75618884,small,24,0.3333,0.0352908417118713
75624437,large,36,0.3333,0.0284581025528988
75632972,small,24,0.3333,0.0306592729609211
75641715,medium,28,0.2857,0.0363772603913976
75641802,small,24,0.3333,0.0374873228692517
75642437,medium,32,0.5,0.0473948301468752
75645971,large,36,0.4444,0.0293831100838152
75648312,large,36,0.4444,0.0453611987366005
75648785,small,24,0.3333,0.0269590829079438
75649223,large,36,0.4444,0.0425077520814712
75649677,medium,32,0.5,0.0331380656269447
75653592,large,36,0.4444,0.0304702723868658
75653796,medium,32,0.375,0.0259058175746907
75665474,medium,32,0.5,0.0470677204148472
75665680,small,20,0.4,0.0291828026352035
75672648,small,20,0.4,0.0429947279279205
75674654,medium,32,0.5,0.0311555107223721
75678738,small,24,0.3333,0.0366704749139486
75678884,medium,32,0.375,0.0403358914264185
75681966,medium,32,0.5,0.0283680142943649
75682275,small,24,0.3333,0.0475896114603342
75682823,small,24,0.3333,0.048431641262247
75684015,medium,28,0.2857,0.0351914113723832
75692201,medium,32,0.375,0.0405671152893692
75693268,medium,28,0.4286,0.0391782378735615
75693368,medium,32,0.375,0.0353914600828465
75696094,small,24,0.5,0.0296341521077854
75696709,medium,32,0.375,0.049841863838995
75697081,medium,32,0.5,0.0433535329126315
75697366,large,36,0.5556,0.0263850021086543
75697432,medium,28,0.4286,0.0277437916106232
75698121,medium,32,0.5,0.0287476287431732
75699482,medium,32,0.5,0.0488571827239252
75699913,medium,28,0.4286,0.0339335809577478
75700277,medium,28,0.4286,0.0413839134750689
75701419,large,36,0.3333,0.0359919615840943
75701856,medium,28,0.4286,0.0406815337561462
75706370,medium,28,0.2857,0.0331456636682347
75709643,medium,28,0.4286,0.0286926404948545
75710307,small,24,0.3333,0.0311878859375056
75714286,medium,28,0.4286,0.0295733354148955
75716279,medium,28,0.4286,0.0311157280571892
75717722,medium,28,0.4286,0.0468550064433895
75731565,small,24,0.5,0.0284488409208236
75733699,large,36,0.3333,0.0349812788747021
75736695,small,24,0.3333,0.0461359868777612
75738228,large,36,0.4444,0.0409559090516589
75743036,small,24,0.3333,0.030107797803914
75749145,medium,28,0.4286,0.047010785260064
75755341,medium,28,0.4286,0.0481538363235143
