episode_id,omega,n_planets,n_orbital,n_static,orbital_share,prod_total,prod_mean,prod_std,n_neutral_start,neutral_prod_share,mean_inter_dist,min_inter_dist,max_inter_dist,std_inter_dist,sun_blockage_share,home_to_nearest_neutral_median,home_to_home_median,n_home
75571862,0.04148625460858506,24,0,24,0.0,60.0,2.5,1.2583057392117916,24,1.0,63.261127714366964,12.097777348198502,124.33782129026196,27.4820016035443,0.11594202898550725,0.0,0.0,0
75608555,0.04820903900766483,28,4,24,0.14285714285714285,72.0,2.5714285714285716,1.2936264483053452,28,1.0,58.716983363009696,10.944999929443886,104.07087505425301,25.841294398462118,0.13227513227513227,0.0,0.0,0
75610004,0.03631903700418773,28,4,24,0.14285714285714285,72.0,2.5714285714285716,1.5907898179514348,28,1.0,57.476226218778976,12.771903381225924,117.86129920683554,24.814933750635042,0.10052910052910052,0.0,0.0,0
75614274,0.044862019701439784,28,0,28,0.0,72.0,2.5714285714285716,1.4982983545287878,28,1.0,60.808305975746144,11.063942160229768,117.57872504979821,26.682644164307302,0.13227513227513227,0.0,0.0,0
75618884,0.035290841711871315,24,0,24,0.0,84.0,3.5,0.7637626158259734,24,1.0,61.437799135184385,12.026693726903025,113.99580120386013,26.141020656513234,0.11594202898550725,0.0,0.0,0
75624437,0.028458102552898823,36,4,32,0.1111111111111111,100.0,2.7777777777777777,1.314684396244359,36,1.0,60.85846973056868,10.405063417766407,119.56616569293942,27.433204438849746,0.15555555555555556,0.0,0.0,0
75632972,0.030659272960921136,24,0,24,0.0,64.0,2.6666666666666665,1.3743685418725535,24,1.0,63.53690803229878,12.31745796298995,121.79028582976628,27.69592249835415,0.15942028985507245,0.0,0.0,0
75641715,0.036377260391397624,28,0,28,0.0,68.0,2.4285714285714284,1.2936264483053455,28,1.0,61.9487277555529,12.436969440088632,115.19355516786679,26.546286240485692,0.10052910052910052,0.0,0.0,0
75641802,0.03748732286925172,24,4,20,0.16666666666666666,68.0,2.8333333333333335,1.863389981249825,24,1.0,60.87601037538681,11.640748785169066,113.43251516915458,26.08717148390735,0.13043478260869565,0.0,0.0,0
75642437,0.04739483014687529,32,0,32,0.0,76.0,2.375,1.5761900266148114,32,1.0,59.147390405987196,9.85795080177139,122.0898395825343,26.890584697370148,0.1774193548387097,0.0,0.0,0
