episode_id,omega,n_planets,n_orbital,orbital_share,size_bucket,mean_orbital_dist_from_sun,max_orbital_dist_from_sun,prod_total,prod_mean,prod_std,n_neutral_start,neutral_prod_share,mean_inter_dist,min_inter_dist,max_inter_dist,std_inter_dist,sun_blockage_share,home_to_nearest_neutral_median,home_to_home_median,n_home
75571862,0.04148625460858506,24,8,0.3333,small,32.484,35.167,60.0,2.5,1.2583057392117916,20,0.9333,63.261,12.098,124.338,27.482,0.1159,17.184,74.021,4
75608555,0.04820903900766483,28,12,0.4286,medium,33.624,37.865,72.0,2.5714285714285716,1.2936264483053452,26,0.9722,58.717,10.945,104.071,25.841,0.1323,10.945,98.785,2
75610004,0.03631903700418773,28,16,0.5714,medium,34.226,38.919,72.0,2.5714285714285716,1.5907898179514348,24,0.7222,57.476,12.772,117.861,24.815,0.1005,12.772,53.998,4
75614274,0.044862019701439784,28,12,0.4286,medium,34.416,36.691,72.0,2.5714285714285716,1.4982983545287878,26,0.8611,60.808,11.064,117.579,26.683,0.1323,11.354,61.294,2
75618884,0.035290841711871315,24,8,0.3333,small,31.571,35.16,84.0,3.5,0.7637626158259734,20,0.8095,61.438,12.027,113.996,26.141,0.1159,15.521,80.607,4
75624437,0.028458102552898823,36,12,0.3333,large,30.51,36.891,100.0,2.7777777777777777,1.314684396244359,32,0.92,60.858,10.405,119.566,27.433,0.1556,10.922,80.281,4
75632972,0.030659272960921136,24,8,0.3333,small,33.484,37.893,64.0,2.6666666666666665,1.3743685418725535,20,0.6875,63.537,12.317,121.79,27.696,0.1594,12.677,70.862,4
75641715,0.036377260391397624,28,8,0.2857,medium,32.323,34.133,68.0,2.4285714285714284,1.2936264483053455,24,0.9412,61.949,12.437,115.194,26.546,0.1005,14.358,69.48,4
75641802,0.03748732286925172,24,8,0.3333,small,32.125,35.558,68.0,2.8333333333333335,1.863389981249825,20,0.9412,60.876,11.641,113.433,26.087,0.1304,11.641,40.576,4
75642437,0.04739483014687529,32,16,0.5,medium,34.49,39.901,76.0,2.375,1.5761900266148114,28,0.9474,59.147,9.858,122.09,26.891,0.1774,10.663,45.134,4
75645971,0.02938311008381521,36,16,0.4444,large,32.674,39.764,64.0,1.7777777777777777,1.227262335243029,32,0.9375,59.066,9.433,122.199,26.314,0.1302,10.522,71.121,4
75648312,0.045361198736600536,36,16,0.4444,large,31.033,36.56,96.0,2.6666666666666665,1.4907119849998596,32,0.7917,56.65,9.571,116.634,25.286,0.1556,12.804,71.2,4
75648785,0.026959082907943892,24,8,0.3333,small,34.509,36.954,52.0,2.1666666666666665,1.4624940645653537,20,0.9231,60.775,13.197,103.75,26.281,0.1014,14.019,52.261,4
75649223,0.04250775208147123,36,16,0.4444,large,32.835,36.857,88.0,2.4444444444444446,1.3425606637327303,32,0.9545,58.219,10.742,119.641,25.812,0.1429,11.681,71.65,4
75649677,0.033138065626944734,32,16,0.5,medium,34.837,39.011,64.0,2.0,1.224744871391589,28,0.9375,58.491,10.32,115.434,26.232,0.1613,19.387,69.49,4
75653592,0.03047027238686587,36,16,0.4444,large,31.683,36.809,88.0,2.4444444444444446,1.4989708403591155,32,0.9545,56.88,9.988,110.366,25.248,0.1429,10.636,52.055,4
75653796,0.02590581757469073,32,12,0.375,medium,34.35,37.541,76.0,2.375,1.1110243021644486,30,0.9211,62.032,10.816,131.275,27.684,0.121,14.999,98.376,2
75665474,0.04706772041484721,32,16,0.5,medium,34.244,38.291,56.0,1.75,1.3919410907075054,30,0.9643,60.002,9.293,134.126,27.265,0.1613,9.293,76.582,2
75665680,0.029182802635203578,20,8,0.4,small,32.714,36.962,52.0,2.6,0.8,16,0.8462,60.319,12.838,108.381,25.514,0.1368,14.206,76.637,4
75672648,0.04299472792792057,20,8,0.4,small,34.428,38.798,52.0,2.6,1.6248076809271923,18,0.8462,60.462,14.007,106.311,24.984,0.1158,16.06,101.452,2
75674654,0.031155510722372166,32,16,0.5,medium,31.327,38.863,88.0,2.75,1.5612494995995996,30,0.8864,56.447,10.496,114.162,25.088,0.1613,13.361,99.975,2
75678738,0.03667047491394862,24,8,0.3333,small,30.764,32.104,60.0,2.5,1.3844373104863459,22,0.9,60.794,11.667,112.555,26.12,0.1449,11.938,97.639,2
75678884,0.04033589142641858,32,12,0.375,medium,33.703,38.175,64.0,2.0,1.118033988749895,28,0.9375,61.032,9.292,118.503,27.393,0.1694,9.292,69.563,4
75681966,0.028368014294364988,32,16,0.5,medium,33.37,36.521,80.0,2.5,0.5,28,0.85,55.895,10.429,104.893,24.375,0.129,11.771,50.727,4
75682275,0.04758961146033421,24,8,0.3333,small,28.876,34.759,76.0,3.1666666666666665,1.2133516482134197,20,0.8947,62.488,10.872,127.061,26.956,0.1304,10.872,89.846,4
75682823,0.04843164126224701,24,8,0.3333,small,28.679,34.478,60.0,2.5,0.7637626158259734,22,0.9333,59.961,11.178,108.261,25.438,0.1304,11.178,97.406,2
75684015,0.03519141137238322,28,8,0.2857,medium,31.811,34.047,88.0,3.142857142857143,1.245399698154478,26,0.8864,60.776,11.872,112.045,26.333,0.1005,15.868,94.882,2
75692201,0.040567115289369224,32,12,0.375,medium,33.125,35.758,80.0,2.5,1.0,28,0.9,59.433,11.158,110.399,25.854,0.1048,13.484,72.302,4
75693268,0.039178237873561506,28,12,0.4286,medium,31.566,36.72,88.0,3.142857142857143,1.124858267715973,24,0.8636,58.525,11.314,119.585,25.611,0.1534,16.036,69.398,4
75693368,0.03539146008284657,32,12,0.375,medium,35.398,37.244,80.0,2.5,1.118033988749895,28,0.95,60.064,9.702,114.819,27.031,0.129,9.702,81.189,4
75696094,0.029634152107785403,24,12,0.5,small,33.239,38.258,64.0,2.6666666666666665,1.247219128924647,22,0.9688,57.777,11.363,111.316,25.354,0.1449,14.015,100.246,2
75696709,0.049841863838995006,32,12,0.375,medium,29.629,33.823,104.0,3.25,1.6393596310755,28,0.9231,59.684,10.477,117.729,26.301,0.1371,10.477,70.476,4
75697081,0.04335353291263158,32,16,0.5,medium,37.588,40.325,60.0,1.875,0.7806247497997998,30,0.9,60.892,10.2,114.28,26.841,0.121,13.24,78.112,2
75697366,0.026385002108654302,36,20,0.5556,large,32.92,37.433,88.0,2.4444444444444446,1.4989708403591155,32,0.9091,55.485,9.458,110.351,24.858,0.1619,10.127,50.719,4
75697432,0.02774379161062322,28,12,0.4286,medium,33.722,38.618,56.0,2.0,1.0690449676496976,26,0.8929,61.297,9.96,113.692,27.157,0.164,12.97,51.336,2
75698121,0.0287476287431732,32,16,0.5,medium,37.1,41.645,76.0,2.375,1.3169567191065923,30,0.9211,60.472,10.171,116.92,27.274,0.1532,10.171,116.92,2
75699482,0.048857182723925294,32,16,0.5,medium,32.078,36.958,64.0,2.0,1.224744871391589,28,0.75,56.058,10.229,106.365,24.716,0.1613,12.519,51.778,4
75699913,0.033933580957747844,28,12,0.4286,medium,28.757,33.572,92.0,3.2857142857142856,1.2777531299998799,26,0.9348,58.012,10.969,115.263,25.226,0.1429,11.393,104.818,2
