pro_target_id,pro_target_owner,pro_target_ships,pro_target_prod,pro_target_priority,pro_target_zone,pro_target_dist_frac,pro_action_type,pro_rank,heur_top_id,heur_top_owner,heur_top_ships,heur_top_prod,heur_top_priority,heur_top_zone,heur_top_dist_frac,heur_n_moves,heur_idle,targets_match,pro_ships_sent,pro_src_owner_ships_total,pro_src_ships,pro_src_prod,episode_id,step,phase,n_players,launch_idx
22,1,8,1,-0.07143630245736488,periphery,0.15569525650052496,reinforce,9.0,7.0,0.0,43.0,3.0,1.4254620707175025,priority_target,0.0,7,False,False,120,515,123,3,75375338,187,0.4746,2,0
7,1,1,3,2.1218638633193927,priority_target,0.17069088961316406,enemy,1.0,7.0,1.0,4.0,3.0,2.1218638633193927,priority_target,,5,False,True,11,529,12,3,75375338,283,0.7183,2,0
6,1,88,3,0.6028774977775442,priority_target,0.6617805771466505,enemy,9.0,25.0,1.0,11.0,3.0,3.7935628429122983,easy_target,0.15437815425509827,0,True,False,3,8,3,1,75556366,128,0.8,4,0
17,0,3,1,-1.875469155694022,contested,0.6502852932707357,enemy,9.0,1.0,0.0,45.0,5.0,0.8431539585964628,priority_target,0.26558362296396504,2,False,False,22,737,33,5,75560041,157,0.7889,2,0
29,0,9,1,-0.988666226080126,contested,0.22012306484811353,enemy,11.0,26.0,-1.0,28.0,1.0,0.8318743890285273,priority_target,0.09834841274170789,1,False,False,22,249,31,2,75560041,109,0.5477,2,0
25,-1,28,1,-0.7348204524542057,contested,0.6207719401159661,neutral,13.0,24.0,-1.0,28.0,1.0,0.9712684788173023,priority_target,0.08622446269605086,5,False,False,30,233,49,3,75560041,87,0.4372,2,0
1,0,111,5,-0.3023827705513009,isolated,0.612614598380039,reinforce,,8.0,-1.0,69.0,3.0,0.8675104550749957,priority_target,0.07739283670196057,3,False,False,30,679,46,2,75608555,87,0.5724,2,0
17,-1,19,1,-3.1731032313811003,periphery,0.07823388528154208,neutral,3.0,1.0,0.0,83.0,3.0,1.164294284624818,priority_target,0.1315847632677681,0,True,False,28,733,56,3,75614274,109,0.9008,2,2
22,2,22,4,-1.5855218945831981,hard_far,0.5240342243512742,enemy,13.0,11.0,2.0,1.0,4.0,3.029901663200291,easy_target,0.0,2,False,False,61,351,82,4,75618884,74,0.3592,4,0
0,1,14,3,-0.30004381464223706,rear,0.32698684368184516,reinforce,,29.0,3.0,131.0,4.0,2.2105357001630654,priority_target,0.0,2,False,False,34,425,47,1,75624437,143,0.5396,4,0
2,2,25,3,-0.9625782466515624,periphery,0.14172523283191985,enemy,7.0,18.0,2.0,26.0,3.0,2.6406026264080316,easy_target,0.0,2,False,False,52,379,82,3,75632972,130,0.2808,4,1
