fixed_h1_correct,fixed_h1_total,fixed_h3_correct,fixed_h3_total,fixed_h5_correct,fixed_h5_total,fixed_h10_correct,fixed_h10_total,adaptive_correct,adaptive_total,adaptive_active_correct,adaptive_active_total,episode_id,step,phase,n_players
27,32,27,32,27,32,29,32,29,32,4,7,75375338,187,0.4746,2
31,32,31,32,30,32,29,32,32,32,7,7,75560041,87,0.4372,2
21,24,23,24,22,24,21,24,22,24,8,10,75632972,130,0.2808,4
23,24,23,24,24,24,24,24,17,24,16,16,75641802,191,0.8197,4
30,36,33,36,32,36,30,36,32,36,16,20,75642437,256,0.6615,4
17,20,17,20,17,20,19,20,20,20,5,5,75672648,31,0.1867,2
30,32,30,32,31,32,28,32,32,32,9,9,75684015,60,0.3681,2
24,28,25,28,25,28,24,28,18,28,13,16,75696094,156,0.8125,2
32,32,0,0,0,0,0,0,7,32,0,0,75699482,299,0.9967,4
27,28,27,28,27,28,28,28,28,28,17,17,75709643,200,0.8065,4
31,32,28,28,28,28,28,28,21,32,6,6,75717722,482,0.9659,4
29,32,30,32,30,32,26,32,31,32,17,18,75749145,253,0.7931,4
31,32,32,32,0,0,0,0,17,32,3,3,75778962,113,0.9741,2
36,36,36,36,36,36,35,36,36,36,2,2,75789044,89,0.1784,4
18,20,18,20,18,20,17,20,18,20,4,6,75811794,303,0.6072,4
30,36,31,36,33,36,32,36,35,36,10,11,75816344,61,0.164,4
28,32,26,32,26,32,27,32,28,32,12,16,75822068,100,0.5155,4
25,28,28,28,27,28,26,28,27,28,7,8,75828924,104,0.8254,2
34,36,35,36,34,36,34,36,32,36,10,14,75843963,289,0.9003,4
26,28,25,28,24,28,24,28,27,28,10,11,75852143,114,0.3918,2
30,32,30,32,30,32,29,32,30,32,4,6,75854043,71,0.3515,2
33,36,33,36,33,36,34,36,39,40,6,7,75866275,83,0.3609,2
28,32,29,32,26,28,25,28,28,32,7,11,75890977,78,0.2943,2
37,40,37,40,35,40,37,40,40,40,6,6,75896280,53,0.3174,2
26,32,30,32,29,32,25,32,32,32,10,10,75904310,234,0.6903,4
24,24,24,24,24,24,22,24,22,28,3,3,75908621,181,0.9188,2
29,32,29,32,29,32,30,32,30,32,8,10,75923421,226,0.8828,4
19,24,22,24,23,24,21,24,22,24,7,9,75927245,95,0.4043,4
31,36,29,36,31,36,33,36,34,36,14,16,75937738,98,0.4828,2
31,36,32,36,33,36,31,36,32,36,12,16,75951597,128,0.2565,4
32,32,32,32,32,32,31,32,18,32,7,8,75955828,185,0.9204,4
30,32,30,32,30,32,32,32,26,32,17,17,75959429,157,0.9181,4
19,20,19,20,19,20,20,20,20,20,11,11,75964932,121,0.6836,2
43,44,43,44,43,44,44,44,29,44,17,17,75970563,267,0.9536,4
21,24,21,24,21,24,20,24,22,24,9,10,75991087,164,0.6406,4
30,32,31,32,27,32,26,32,29,32,12,14,75998641,469,0.9399,4
27,28,26,28,26,28,24,28,28,28,14,14,76041054,90,0.2903,4
34,36,36,36,35,36,35,36,36,36,15,15,76056672,271,0.7699,4
39,40,39,40,40,40,35,40,39,40,9,10,76063562,56,0.2523,4
26,28,26,28,26,28,26,28,27,28,8,9,76071285,111,0.681,4
26,28,26,28,25,28,25,28,27,28,6,7,76109496,96,0.2623,2
28,28,28,28,28,28,28,28,28,28,11,11,76132264,147,0.5787,4
25,32,25,32,26,32,23,32,28,32,7,11,76140744,133,0.4784,4
24,24,24,24,24,24,24,24,23,24,10,11,76157049,182,0.6169,4
31,32,32,32,32,32,0,0,15,32,2,2,76202954,111,0.9407,2
30,32,31,32,31,32,30,32,31,32,8,9,76224773,113,0.2265,4
32,40,35,40,33,40,30,40,43,44,17,18,76241304,82,0.2939,4
36,36,36,36,36,36,36,36,36,36,15,15,76257210,157,0.7772,4
21,28,21,28,21,28,24,28,27,28,6,7,76281340,15,0.0711,4
33,36,32,36,33,36,24,32,33,36,9,12,76312376,75,0.6148,2
20,24,21,24,20,24,21,24,21,24,15,18,76353192,59,0.285,2
29,32,28,32,28,32,25,32,29,32,10,13,76358451,61,0.3297,4
29,32,30,32,27,32,23,32,29,32,12,15,76360514,86,0.5584,2
19,20,19,20,20,20,19,20,20,20,7,7,76416544,43,0.1784,4
33,36,33,36,33,36,33,36,35,36,11,12,76443885,58,0.2959,4
19,20,18,20,18,20,17,20,19,20,5,6,76480597,46,0.3286,4
19,20,19,20,19,20,20,20,19,20,13,13,76510627,232,0.8788,4
32,32,32,32,32,32,32,32,10,32,10,10,76527854,139,0.9329,2
25,28,25,28,27,28,28,28,12,28,12,14,76538658,200,0.7692,4
25,28,27,28,28,28,28,28,9,28,9,11,76538658,203,0.7808,4
27,32,29,32,31,32,0,0,18,32,5,5,76632857,145,0.9603,4
24,28,25,28,25,28,24,28,26,28,13,15,76657754,82,0.4039,4
