episode_id,step,player_idx,launch_idx,n_players,n_planets,n_fleets,pro_src_id,pro_target_id,pro_ships,pro_angle,pro_action_type,pro_target_owner,pro_target_priority,pro_target_zone,pro_rank_in_targets,n_targets,heur_top_target_id,heur_top_priority,heur_top1,heur_top3,heur_top5,heur_top10,heur_n_moves,heur_action_src_id,heur_action_target_id,heur_action_type,heur_action_ships,src_match,target_match,type_match,heur_idle,error,phase,final_reward,sanity_owner_match,sanity_ship_match,sanity_fleet_count_match,sanity_n_planets_compared,proj_owner_accuracy,proj_active_accuracy,proj_n_active,proj_horizon
75372144,190,1,0,4,32,26,12,1,23,2.4902,reinforce,1,0.6286,contested,1.0,15,1.0,0.6286,True,True,True,True,8,12.0,1.0,reinforce,21.0,True,True,True,False,,0.9005,1.0,1.0,1.0,True,32.0,,,,
75375338,187,1,0,2,32,14,2,22,120,2.8623,reinforce,1,-0.2133,periphery,10.0,22,7.0,1.184,False,False,False,True,7,31.0,7.0,reinforce,48.0,False,False,True,False,,0.4746,-1.0,,,,,,,,
75375338,283,0,0,2,36,42,6,7,11,3.1416,enemy,1,2.1219,priority_target,1.0,18,7.0,2.1219,True,True,True,True,5,0.0,28.0,reinforce,201.0,False,False,False,False,,0.7183,1.0,,,,,,,,
75375338,282,1,0,2,36,40,31,7,65,5.7945,enemy,0,1.6684,priority_target,2.0,24,12.0,1.6799,False,True,True,True,3,31.0,2.0,reinforce,87.0,True,False,False,False,,0.7157,-1.0,,,,,,,,
75375338,262,0,1,2,36,28,28,22,73,-1.771,enemy,1,-0.753,periphery,13.0,17,25.0,0.2963,False,False,False,False,5,32.0,4.0,reinforce,3.0,False,False,False,False,,0.665,1.0,,,,,,,,
75556366,128,3,0,4,28,8,22,6,3,2.4912,enemy,1,0.2807,priority_target,9.0,27,25.0,3.5819,False,False,False,True,0,,,,,False,False,False,True,,0.8,-1.0,,,,,,,,
75560041,157,1,0,2,36,20,0,17,22,2.8281,enemy,0,-1.0034,contested,9.0,12,1.0,0.9176,False,False,False,True,2,21.0,17.0,enemy,49.0,False,True,True,False,,0.7889,1.0,,,,,,,,
75560041,109,1,0,2,32,20,15,29,22,1.7753,enemy,0,-0.7797,contested,12.0,19,26.0,0.677,False,False,False,False,1,2.0,15.0,reinforce,29.0,False,False,False,False,,0.5477,1.0,,,,,,,,
75560041,87,1,0,2,32,15,7,25,30,0.3757,neutral,-1,-0.7395,contested,13.0,20,24.0,0.959,False,False,False,False,3,20.0,6.0,reinforce,3.0,False,False,False,False,,0.4372,1.0,,,,,,,,
75608555,87,0,0,2,28,53,20,1,30,2.2889,reinforce,0,-0.3024,isolated,,9,8.0,0.8675,False,False,False,False,3,20.0,7.0,enemy,41.0,True,False,False,False,,0.5724,1.0,,,,,,,,
75610004,124,1,9,4,28,153,18,1,8,2.2385,neutral,-1,0.4567,easy_target,2.0,2,2.0,0.4687,False,True,True,True,0,,,,,False,False,False,True,,0.8732,1.0,1.0,1.0,True,28.0,,,,
75614274,109,1,2,2,28,23,5,17,28,2.8127,neutral,-1,-2.4747,periphery,3.0,3,1.0,1.0556,False,True,True,True,0,,,,,False,False,False,True,,0.9008,1.0,,,,,,,,
75618884,74,3,0,4,28,24,12,22,61,-0.149,enemy,2,-1.6979,hard_far,14.0,15,11.0,3.3878,False,False,False,False,2,17.0,3.0,reinforce,46.0,False,False,False,False,,0.3592,1.0,,,,,,,,
75624437,143,1,0,4,36,36,35,0,34,-0.2608,reinforce,1,-0.3015,rear,,21,29.0,1.9876,False,False,False,False,2,21.0,0.0,reinforce,63.0,False,True,True,False,,0.5396,-1.0,,,,,,,,
75632972,130,3,1,4,24,29,6,2,52,0.1677,enemy,2,-0.8273,periphery,6.0,16,18.0,2.57,False,False,False,True,2,7.0,0.0,enemy,31.0,False,False,True,False,,0.2808,1.0,,,,,,,,
75641715,302,2,11,4,28,374,14,7,2,-1.3719,reinforce,2,-0.0587,mid,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.9379,1.0,,,,,,,,
75641715,313,2,15,4,28,400,20,19,4,-2.8515,reinforce,2,-0.8848,isolated,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.972,1.0,,,,,,,,
75641715,262,2,1,4,32,23,23,0,39,0.4282,enemy,1,-1.2167,rear,,8,21.0,2.9331,False,False,False,False,1,13.0,10.0,reinforce,11.0,False,False,False,False,,0.8137,1.0,,,,,,,,
75641715,318,2,18,4,28,454,22,5,35,2.1786,reinforce,2,-0.0362,mid,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.9876,1.0,,,,,,,,
75641802,227,0,6,4,24,458,9,1,6,1.2554,reinforce,0,-1.1109,isolated,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.9742,1.0,,,,,,,,
75641802,171,0,4,4,28,49,23,11,181,-0.3694,enemy,3,-0.1287,priority_target,3.0,6,17.0,1.2414,False,True,True,True,2,10.0,13.0,reinforce,15.0,False,False,False,False,,0.7339,1.0,0.9643,0.9643,False,28.0,,,,
75641802,191,0,0,4,24,243,0,5,4,2.9774,reinforce,0,-0.0154,mid,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.8197,1.0,,,,,,,,
75641802,220,0,8,4,24,441,10,8,5,1.9885,reinforce,0,0.1818,mid,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.9442,1.0,,,,,,,,
75641802,213,0,18,4,24,402,23,12,5,1.435,reinforce,0,0.0445,mid,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.9142,1.0,,,,,,,,
75641802,177,0,9,4,28,99,12,10,24,-0.9404,reinforce,0,0.0841,mid,,4,14.0,1.9424,False,False,False,False,5,23.0,3.0,reinforce,15.0,False,False,True,False,,0.7597,1.0,,,,,,,,
75641802,185,0,13,4,24,194,18,12,2,2.2215,reinforce,0,-0.3041,rear,,1,6.0,1.5815,False,False,False,False,2,17.0,6.0,enemy,92.0,False,False,False,False,,0.794,1.0,,,,,,,,
75642437,294,3,8,4,32,211,17,12,7,1.2523,reinforce,3,-0.7127,rear,,8,16.0,1.1541,False,False,False,False,2,28.0,22.0,enemy,25.0,False,False,False,False,,0.7597,1.0,,,,,,,,
75642437,355,3,5,4,36,369,9,5,10,2.6885,reinforce,3,-0.4598,bastion,,8,3.0,2.4508,False,False,False,False,1,29.0,22.0,enemy,18.0,False,False,False,False,,0.9173,1.0,,,,,,,,
75642437,335,3,0,4,32,301,0,20,2,-0.5288,enemy,2,-1.123,isolated,,9,12.0,-0.0899,False,False,False,False,3,3.0,24.0,reinforce,25.0,False,False,False,False,,0.8656,1.0,,,,,,,,
75642437,322,3,5,4,32,247,9,1,2,-2.2596,reinforce,3,-1.2373,rear,,10,4.0,2.7223,False,False,False,False,0,,,,,False,False,False,True,,0.832,1.0,,,,,,,,
75642437,256,3,5,4,36,87,14,10,2,-0.1509,enemy,2,0.4693,easy_target,3.0,11,29.0,0.9285,False,True,True,True,2,31.0,9.0,enemy,11.0,False,False,True,False,,0.6615,1.0,1.0,1.0,True,36.0,,,,
75642437,276,3,13,4,36,146,33,21,10,1.8103,enemy,2,-0.6352,frontline,,15,5.0,1.5721,False,False,False,False,1,25.0,5.0,enemy,14.0,False,False,True,False,,0.7132,1.0,,,,,,,,
75642437,170,1,0,4,36,19,2,6,59,-1.6928,reinforce,1,-0.2849,isolated,,21,22.0,1.6525,False,False,False,False,6,27.0,22.0,enemy,84.0,False,False,False,False,,0.4393,-1.0,,,,,,,,
75642437,381,3,26,4,36,380,34,6,3,-1.5018,reinforce,3,-0.2463,isolated,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.9845,1.0,,,,,,,,
75642437,31,0,0,4,32,9,18,29,36,3.5099,neutral,-1,-0.635,periphery,17.0,28,26.0,2.7932,False,False,False,False,1,18.0,24.0,neutral,32.0,True,False,True,False,,0.0801,-1.0,,,,,,,,
75648312,24,2,0,4,36,14,6,3,22,3.0585,enemy,3,-1.2219,hard_far,26.0,29,30.0,3.175,False,False,False,False,3,6.0,30.0,neutral,28.0,True,False,False,False,,0.1333,1.0,,,,,,,,
75648312,34,0,0,4,36,21,30,8,1,1.4525,reinforce,0,0.3179,contested,,29,26.0,2.5404,False,False,False,False,4,8.0,30.0,reinforce,35.0,False,False,True,False,,0.1889,-1.0,,,,,,,,
75649223,42,2,0,4,36,13,10,9,25,2.4714,enemy,1,-1.2679,hard_far,23.0,28,21.0,3.0703,False,False,False,False,0,,,,,False,False,False,True,,0.2246,1.0,,,,,,,,
75653592,203,2,0,4,36,11,13,11,211,-2.1402,enemy,0,2.8666,easy_target,1.0,4,11.0,2.8666,True,True,True,True,3,8.0,16.0,neutral,31.0,False,False,False,False,,0.9442,1.0,,,,,,,,
75653796,144,1,0,2,32,15,23,29,139,0.6804,enemy,0,-0.891,periphery,11.0,19,30.0,1.8933,False,False,False,False,6,5.0,9.0,reinforce,24.0,False,False,False,False,,0.6667,1.0,,,,,,,,
75665474,32,0,0,2,32,5,16,22,18,-1.7813,neutral,-1,-0.639,mid,,26,7.0,2.0586,False,False,False,False,3,16.0,23.0,enemy,16.0,True,False,False,False,,0.4,1.0,1.0,1.0,True,32.0,,,,
75672648,31,1,0,2,20,5,7,4,20,0.6981,enemy,0,-1.5569,hard_far,11.0,13,2.0,1.7148,False,False,False,False,2,13.0,9.0,reinforce,12.0,False,False,False,False,,0.1867,1.0,,,,,,,,
75672648,65,0,0,2,24,22,17,6,17,-0.9664,reinforce,0,1.8976,contested,1.0,14,6.0,1.8976,True,True,True,True,6,17.0,6.0,reinforce,12.0,True,True,True,False,,0.3916,-1.0,,,,,,,,
75674654,69,1,0,2,36,26,7,3,65,-0.7412,reinforce,1,-0.3335,rear,,21,13.0,2.0672,False,False,False,False,1,25.0,29.0,enemy,6.0,False,False,False,False,,0.3485,1.0,,,,,,,,
75674654,56,1,1,2,36,14,7,24,55,0.933,reinforce,1,-0.5793,rear,,19,6.0,2.1305,False,False,False,False,0,,,,,False,False,False,True,,0.2828,1.0,,,,,,,,
75678884,282,3,0,4,32,20,2,17,30,2.402,reinforce,3,0.3663,contested,,8,26.0,0.6969,False,False,False,False,0,,,,,False,False,False,True,,0.5767,1.0,,,,,,,,
75681966,50,1,0,4,36,11,13,28,14,1.2678,reinforce,1,-0.7568,contested,,25,11.0,2.5381,False,False,False,False,2,13.0,15.0,enemy,16.0,True,False,False,False,,0.3497,-1.0,,,,,,,,
75684015,60,0,1,2,32,14,24,28,18,-2.0532,enemy,1,,,,16,23.0,1.544,False,False,False,False,0,,,,,False,False,False,True,,0.3681,1.0,,,,,,,,
75684015,110,1,3,2,28,29,20,19,15,-2.8324,reinforce,1,0.2746,contested,,21,6.0,1.8911,False,False,False,False,1,26.0,6.0,enemy,55.0,False,False,False,False,,0.6748,-1.0,,,,,,,,
75693368,201,3,19,4,32,369,21,19,4,-1.9756,reinforce,3,-1.143,isolated,,0,,,False,False,False,False,0,,,,,False,False,False,True,,0.971,1.0,,,,,,,,
75693368,141,3,0,4,32,24,12,10,31,-1.8936,reinforce,3,0.8726,contested,,19,22.0,2.8326,False,False,False,False,1,20.0,24.0,enemy,6.0,False,False,False,False,,0.6812,1.0,1.0,1.0,True,32.0,,,,
75693368,123,2,0,4,32,26,20,2,37,-0.5679,enemy,3,0.8046,contested,4.0,22,26.0,2.1669,False,False,True,True,0,,,,,False,False,False,True,,0.5942,-1.0,,,,,,,,
