episode_id,player_idx,n_steps_total,t_soft,t_hard,phase_t_soft,phase_t_hard,direction,t_window_start,window_size,final_label,consistent,sanity_ok
75368665,0,76,12,39,0.16,0.52,loss,0,12,0,1,1
75368665,1,76,12,39,0.16,0.52,win,0,12,1,1,1
75372594,0,141,41,63,0.2929,0.45,win,13,28,1,1,1
75372594,1,141,41,63,0.2929,0.45,loss,13,28,0,1,1
75375338,0,395,357,384,0.9061,0.9746,win,278,79,1,1,1
75375338,1,395,357,384,0.9061,0.9746,loss,278,79,0,1,1
75398399,0,120,20,66,0.1681,0.5546,win,0,20,1,1,1
75398399,1,120,20,66,0.1681,0.5546,loss,0,20,0,1,1
75560041,0,200,148,186,0.7437,0.9347,loss,108,40,0,1,1
75560041,1,200,144,186,0.7236,0.9347,win,104,40,1,1,1
75608555,0,153,22,89,0.1447,0.5855,win,0,22,1,1,1
75608555,1,153,22,89,0.1447,0.5855,loss,0,22,0,1,1
75614274,0,122,89,103,0.7355,0.8512,loss,65,24,0,1,1
75614274,1,122,79,103,0.6529,0.8512,win,55,24,1,1,1
75653796,0,217,162,201,0.75,0.9306,loss,119,43,0,1,1
75653796,1,217,160,201,0.7407,0.9306,win,117,43,1,1,1
75665474,0,81,13,35,0.1625,0.4375,win,0,13,1,1,1
75665474,1,81,13,35,0.1625,0.4375,loss,0,13,0,1,1
75672648,0,167,81,129,0.488,0.7771,loss,48,33,0,1,1
75672648,1,167,74,129,0.4458,0.7771,win,41,33,1,1,1
75674654,0,199,150,166,0.7576,0.8384,loss,111,39,0,1,1
75674654,1,199,150,166,0.7576,0.8384,win,111,39,1,1,1
75678738,0,128,71,105,0.5591,0.8268,loss,46,25,0,1,1
75678738,1,128,71,105,0.5591,0.8268,win,46,25,1,1,1
75682823,0,137,105,122,0.7721,0.8971,win,78,27,1,1,1
75682823,1,137,105,122,0.7721,0.8971,loss,78,27,0,1,1
75684015,0,164,112,141,0.6871,0.865,win,80,32,1,1,1
75684015,1,164,112,141,0.6871,0.865,loss,80,32,0,1,1
75696094,0,193,109,141,0.5677,0.7344,loss,71,38,0,1,1
75696094,1,193,109,141,0.5677,0.7344,win,71,38,1,1,1
75697081,0,134,72,121,0.5414,0.9098,loss,46,26,0,1,1
75697081,1,134,69,121,0.5188,0.9098,win,43,26,1,1,1
75697432,0,258,213,234,0.8288,0.9105,loss,162,51,0,1,1
75697432,1,258,210,234,0.8171,0.9105,win,159,51,1,1,1
75698121,0,159,92,139,0.5823,0.8797,loss,61,31,0,1,1
75698121,1,159,87,139,0.5506,0.8797,win,56,31,1,1,1
75699913,0,160,135,150,0.8491,0.9434,win,103,32,1,1,1
75699913,1,160,138,150,0.8679,0.9434,loss,106,32,0,1,1
75701419,0,169,106,154,0.631,0.9167,loss,73,33,0,1,1
75701419,1,169,106,154,0.631,0.9167,win,73,33,1,1,1
75701856,0,183,107,149,0.5879,0.8187,win,71,36,1,1,1
75701856,1,183,107,149,0.5879,0.8187,loss,71,36,0,1,1
75706370,0,153,123,135,0.8092,0.8882,win,93,30,1,1,1
75706370,1,153,123,135,0.8092,0.8882,loss,93,30,0,1,1
75733699,0,101,66,93,0.66,0.93,win,46,20,1,1,1
75733699,1,101,66,93,0.66,0.93,loss,46,20,0,1,1
75736695,0,116,87,102,0.7565,0.887,loss,64,23,0,1,1
75736695,1,116,73,102,0.6348,0.887,win,50,23,1,1,1
75743036,0,267,199,231,0.7481,0.8684,loss,146,53,0,1,1
75743036,1,267,199,231,0.7481,0.8684,win,146,53,1,1,1
75755341,0,186,137,168,0.7405,0.9081,win,100,37,1,1,1
75755341,1,186,137,168,0.7405,0.9081,loss,100,37,0,1,1
75760975,0,170,83,144,0.4911,0.8521,loss,49,34,0,1,1
75760975,1,170,83,144,0.4911,0.8521,win,49,34,1,1,1
75761040,0,148,103,127,0.7007,0.8639,loss,74,29,0,1,1
75761040,1,148,103,127,0.7007,0.8639,win,74,29,1,1,1
75776353,0,152,100,135,0.6623,0.894,loss,70,30,0,1,1
75776353,1,152,100,135,0.6623,0.894,win,70,30,1,1,1
75777398,0,108,46,93,0.4299,0.8692,win,25,21,1,1,1
75777398,1,108,48,93,0.4486,0.8692,loss,27,21,0,1,1
75778169,0,144,119,131,0.8322,0.9161,loss,91,28,0,1,1
75778169,1,144,119,131,0.8322,0.9161,win,91,28,1,1,1
75778542,0,132,50,131,0.3817,1.0,win,24,26,1,1,1
75778542,1,132,53,131,0.4046,1.0,loss,27,26,0,1,1
75778962,0,117,75,107,0.6466,0.9224,loss,52,23,0,1,1
75778962,1,117,75,107,0.6466,0.9224,win,52,23,1,1,1
75781174,0,191,138,170,0.7263,0.8947,loss,100,38,0,1,1
75781174,1,191,138,170,0.7263,0.8947,win,100,38,1,1,1
75781277,0,183,92,145,0.5055,0.7967,loss,56,36,0,1,1
75781277,1,183,92,145,0.5055,0.7967,win,56,36,1,1,1
75785726,0,120,99,109,0.8319,0.916,loss,75,24,0,1,1
75785726,1,120,99,109,0.8319,0.916,win,75,24,1,1,1
75787078,0,211,158,198,0.7524,0.9429,win,116,42,1,1,1
75787078,1,211,158,198,0.7524,0.9429,loss,116,42,0,1,1
75796408,0,261,218,258,0.8385,0.9923,win,166,52,1,1,1
