episode_id,player_idx,map_type,n_steps_total,t_soft,t_hard,phase_t_soft,phase_t_hard,direction,t_window_start,window_size,final_label,consistent
75368665,0,,76,12,39,0.16,0.52,loss,0,12,0,1
75368665,1,,76,12,39,0.16,0.52,win,0,12,1,1
75372594,0,,141,41,63,0.2929,0.45,win,13,28,1,1
75372594,1,,141,41,63,0.2929,0.45,loss,13,28,0,1
75375338,0,,395,357,384,0.9061,0.9746,win,278,79,1,1
75375338,1,,395,357,384,0.9061,0.9746,loss,278,79,0,1
75398399,0,,120,20,66,0.1681,0.5546,win,0,20,1,1
75398399,1,,120,20,66,0.1681,0.5546,loss,0,20,0,1
75560041,0,,200,148,186,0.7437,0.9347,loss,108,40,0,1
75560041,1,,200,144,186,0.7236,0.9347,win,104,40,1,1
75608555,0,medium_orbital,153,22,90,0.1447,0.5921,win,0,22,1,1
75608555,1,medium_orbital,153,22,90,0.1447,0.5921,loss,0,22,0,1
75614274,0,medium_static,122,89,103,0.7355,0.8512,loss,65,24,0,1
75614274,1,medium_static,122,79,103,0.6529,0.8512,win,55,24,1,1
75653796,0,medium_static,217,162,201,0.75,0.9306,loss,119,43,0,1
75653796,1,medium_static,217,160,201,0.7407,0.9306,win,117,43,1,1
75665474,0,medium_static,81,13,35,0.1625,0.4375,win,0,13,1,1
75665474,1,medium_static,81,13,35,0.1625,0.4375,loss,0,13,0,1
75672648,0,small_static,167,81,107,0.488,0.6446,loss,48,33,0,1
75672648,1,small_static,167,74,107,0.4458,0.6446,win,41,33,1,1
75674654,0,medium_orbital,199,150,166,0.7576,0.8384,loss,111,39,0,1
75674654,1,medium_orbital,199,153,166,0.7727,0.8384,win,114,39,1,1
75678738,0,small_static,128,71,94,0.5591,0.7402,loss,46,25,0,1
75678738,1,small_static,128,71,94,0.5591,0.7402,win,46,25,1,1
75682823,0,small_orbital,137,115,115,0.8456,0.8456,win,88,27,1,1
75682823,1,small_orbital,137,115,115,0.8456,0.8456,loss,88,27,0,1
75684015,0,medium_static,164,112,141,0.6871,0.865,win,80,32,1,1
75684015,1,medium_static,164,112,141,0.6871,0.865,loss,80,32,0,1
75696094,0,small_orbital,193,110,110,0.5729,0.5729,loss,72,38,0,1
75696094,1,small_orbital,193,110,110,0.5729,0.5729,win,72,38,1,1
75697081,0,medium_static,134,72,121,0.5414,0.9098,loss,46,26,0,1
75697081,1,medium_static,134,69,121,0.5188,0.9098,win,43,26,1,1
75697432,0,medium_orbital,258,213,237,0.8288,0.9222,loss,162,51,0,1
75697432,1,medium_orbital,258,213,237,0.8288,0.9222,win,162,51,1,1
75698121,0,medium_static,159,92,139,0.5823,0.8797,loss,61,31,0,1
75698121,1,medium_static,159,87,139,0.5506,0.8797,win,56,31,1,1
75699913,0,medium_orbital,160,138,151,0.8679,0.9497,win,106,32,1,1
75699913,1,medium_orbital,160,138,151,0.8679,0.9497,loss,106,32,0,1
75701419,0,large_static,169,120,120,0.7143,0.7143,loss,87,33,0,1
75701419,1,large_static,169,120,120,0.7143,0.7143,win,87,33,1,1
75701856,0,medium_static,183,107,149,0.5879,0.8187,win,71,36,1,1
75701856,1,medium_static,183,107,149,0.5879,0.8187,loss,71,36,0,1
75706370,0,medium_static,153,123,135,0.8092,0.8882,win,93,30,1,1
75706370,1,medium_static,153,123,135,0.8092,0.8882,loss,93,30,0,1
75733699,0,large_orbital,101,84,93,0.84,0.93,win,64,20,1,1
75733699,1,large_orbital,101,85,93,0.85,0.93,loss,65,20,0,1
75736695,0,small_orbital,116,95,95,0.8261,0.8261,loss,72,23,0,1
75736695,1,small_orbital,116,88,88,0.7652,0.7652,win,65,23,1,1
75743036,0,small_static,267,199,231,0.7481,0.8684,loss,146,53,0,1
75743036,1,small_static,267,199,231,0.7481,0.8684,win,146,53,1,1
75755341,0,medium_static,186,137,168,0.7405,0.9081,win,100,37,1,1
75755341,1,medium_static,186,137,168,0.7405,0.9081,loss,100,37,0,1
75760975,0,medium_orbital,170,83,146,0.4911,0.8639,loss,49,34,0,1
75760975,1,medium_orbital,170,89,146,0.5266,0.8639,win,55,34,1,1
75761040,0,medium_orbital,148,103,129,0.7007,0.8776,loss,74,29,0,1
75761040,1,medium_orbital,148,107,129,0.7279,0.8776,win,78,29,1,1
75776353,0,medium_static,152,100,135,0.6623,0.894,loss,70,30,0,1
75776353,1,medium_static,152,100,135,0.6623,0.894,win,70,30,1,1
75777398,0,large_orbital,108,76,93,0.7103,0.8692,win,55,21,1,1
75777398,1,large_orbital,108,86,93,0.8037,0.8692,loss,65,21,0,1
75778169,0,medium_orbital,144,119,136,0.8322,0.951,loss,91,28,0,1
75778169,1,medium_orbital,144,119,136,0.8322,0.951,win,91,28,1,1
75778542,0,small_orbital,132,108,108,0.8244,0.8244,win,82,26,1,1
75778542,1,small_orbital,132,108,108,0.8244,0.8244,loss,82,26,0,1
75778962,0,medium_orbital,117,75,107,0.6466,0.9224,loss,52,23,0,1
