n_planets,n_planet_diffs,pct_planets_match,n_pred_fleets,n_real_fleets,fleet_count_match,n_extra_pred_fleets,n_missing_pred_fleets,n_total_launches,n_active_players,episode_id,step,n_players,phase
32,0,1.0,25,25,True,0,0,2,2,75372144,186,4,0.8815
32,0,1.0,17,17,True,0,0,3,2,75375338,187,2,0.4746
28,0,1.0,9,9,True,0,0,2,2,75556366,128,4,0.8
36,0,1.0,20,20,True,0,0,1,1,75560041,157,2,0.7889
32,0,1.0,20,20,True,0,0,4,2,75560041,109,2,0.5477
28,1,0.9643,58,57,False,1,0,9,2,75608555,87,2,0.5724
28,0,1.0,24,24,True,0,0,3,1,75614274,109,2,0.9008
28,0,1.0,25,25,True,0,0,4,2,75618884,74,4,0.3592
36,0,1.0,42,42,True,0,0,9,3,75624437,143,4,0.5396
28,0,1.0,374,374,True,0,0,22,1,75641715,302,4,0.9379
28,0,1.0,411,411,True,0,0,23,1,75641715,313,4,0.972
24,0,1.0,462,462,True,0,0,15,1,75641802,227,4,0.9742
28,1,0.9643,51,50,False,1,0,8,4,75641802,171,4,0.7339
32,0,1.0,214,214,True,0,0,19,2,75642437,294,4,0.7597
36,0,1.0,369,369,True,0,0,18,2,75642437,355,4,0.9173
32,0,1.0,34,34,True,0,0,8,3,75642437,224,4,0.5788
32,0,1.0,305,305,True,0,0,20,2,75642437,335,4,0.8656
28,0,1.0,13,13,True,0,0,2,2,75648785,53,4,0.2865
36,0,1.0,14,14,True,0,0,2,2,75649677,60,4,0.4478
36,0,1.0,12,12,True,0,0,2,1,75653592,203,4,0.9442
32,0,1.0,6,6,True,0,0,1,1,75665474,32,2,0.4
20,0,1.0,40,40,True,0,0,0,0,75665680,440,4,0.8818
20,0,1.0,49,49,True,0,0,6,1,75665680,399,4,0.7996
20,0,1.0,49,49,True,0,0,2,1,75665680,400,4,0.8016
20,0,1.0,7,7,True,0,0,2,1,75672648,31,2,0.1867
36,0,1.0,29,29,True,0,0,3,2,75674654,69,2,0.3485
32,0,1.0,20,20,True,0,0,3,1,75678884,282,4,0.5767
36,0,1.0,19,19,True,0,0,2,2,75681966,67,4,0.4685
36,0,1.0,12,12,True,0,0,2,2,75681966,50,4,0.3497
28,0,1.0,9,9,True,0,0,0,0,75682823,77,2,0.5662
28,0,1.0,4,4,True,0,0,0,0,75684015,15,2,0.092
32,0,1.0,23,23,True,0,0,2,1,75693368,104,4,0.5024
32,0,1.0,373,373,True,0,0,29,1,75693368,201,4,0.971
32,0,1.0,21,21,True,0,0,3,2,75693368,141,4,0.6812
32,0,1.0,23,23,True,0,0,3,3,75693368,123,4,0.5942
36,0,1.0,14,14,True,0,0,3,2,75693368,50,4,0.2415
28,2,0.9286,285,282,False,3,0,20,1,75696094,156,2,0.8125
36,0,1.0,25,25,True,0,0,3,2,75696709,80,4,0.6349
36,0,1.0,58,58,True,0,0,10,2,75697366,122,4,0.5495
40,0,1.0,88,88,True,1,1,6,2,75697366,154,4,0.6937
36,0,1.0,79,79,True,0,0,12,2,75697366,190,4,0.8559
32,0,1.0,579,579,True,0,0,26,1,75699482,299,4,0.9967
36,0,1.0,24,24,True,0,0,6,3,75699482,163,4,0.5433
36,0,1.0,19,19,True,0,0,4,3,75699482,61,4,0.2033
28,0,1.0,44,44,True,0,0,7,2,75699913,131,2,0.8239
28,0,1.0,60,60,True,0,0,4,1,75709643,200,4,0.8065
28,0,1.0,21,21,True,0,0,5,3,75709643,91,4,0.3669
28,0,1.0,21,21,True,0,0,3,3,75710307,53,4,0.3136
28,0,1.0,34,34,True,0,0,4,2,75716279,186,4,0.8122
28,0,1.0,7,7,True,0,0,0,0,75717722,30,4,0.0601
28,0,1.0,17,17,True,0,0,1,1,75731565,76,4,0.242
28,0,1.0,31,31,True,0,0,5,2,75749145,288,4,0.9028
32,0,1.0,36,36,True,0,0,8,2,75749145,267,4,0.837
32,0,1.0,16,16,True,0,0,4,3,75749145,70,4,0.2194
28,0,1.0,32,32,True,0,0,8,2,75749145,246,4,0.7712
32,0,1.0,29,29,True,0,0,4,2,75749145,253,4,0.7931
28,0,1.0,26,26,True,0,0,3,2,75755341,140,2,0.7568
28,0,1.0,26,26,True,0,0,8,2,75755341,88,2,0.4757
36,1,0.9722,35,34,False,1,0,7,2,75777084,45,4,0.2647
36,0,1.0,9,9,True,0,0,2,1,75777398,103,2,0.9626
32,0,1.0,67,67,True,0,0,12,1,75778962,113,2,0.9741
36,0,1.0,43,43,True,0,0,7,1,75778962,80,2,0.6897
40,0,1.0,16,16,True,0,0,4,2,75783641,68,4,0.5113
36,0,1.0,25,25,True,0,0,3,1,75783641,94,4,0.7068
36,0,1.0,4,4,True,0,0,1,1,75789044,89,4,0.1784
28,0,1.0,28,28,True,0,0,4,2,75798980,118,4,0.6556
20,0,1.0,68,68,True,0,0,8,1,75811302,317,4,0.898
20,0,1.0,17,17,True,0,0,1,1,75811302,182,4,0.5156
20,0,1.0,23,23,True,0,0,1,1,75811302,222,4,0.6289
28,0,1.0,36,36,True,0,0,8,2,75811319,245,4,0.491
28,0,1.0,4,4,True,0,0,1,1,75811319,497,4,0.996
32,0,1.0,32,32,True,0,0,1,1,75811319,258,4,0.517
28,0,1.0,65,65,True,0,0,4,3,75811544,210,4,0.4208
36,0,1.0,20,20,True,0,0,5,3,75811657,91,4,0.1824
20,0,1.0,10,10,True,0,0,2,1,75811794,303,4,0.6072
20,0,1.0,8,8,True,0,0,1,1,75811794,327,4,0.6553
20,0,1.0,19,19,True,0,0,4,1,75811794,437,4,0.8758
20,0,1.0,23,23,True,0,0,4,2,75811794,109,4,0.2184
32,0,1.0,7,7,True,0,0,3,1,75813241,357,2,0.7154
28,0,1.0,11,11,True,0,0,3,1,75813241,336,2,0.6733
20,0,1.0,6,6,True,0,0,0,0,75815465,131,2,0.6931
32,0,1.0,13,13,True,0,0,3,2,75816344,135,4,0.3629
24,0,1.0,282,282,True,0,0,19,1,75818582,112,2,0.855
28,0,1.0,34,34,True,0,0,4,2,75820420,289,4,0.5792
32,0,1.0,22,22,True,0,0,3,1,75820420,280,4,0.5611
32,0,1.0,27,27,True,0,0,3,2,75820420,265,4,0.5311
36,2,0.9444,107,105,False,2,0,17,2,75822068,168,4,0.866
32,0,1.0,7,7,True,0,0,0,0,75822068,15,4,0.0773
32,0,1.0,18,18,True,0,0,5,4,75822068,33,4,0.1701
32,0,1.0,43,43,True,0,0,7,3,75822068,100,4,0.5155
36,0,1.0,36,36,True,0,0,5,2,75823093,113,2,0.5979
36,0,1.0,34,34,True,0,0,5,2,75825491,65,2,0.4887
32,0,1.0,25,25,True,0,0,3,2,75825491,82,2,0.6165
32,0,1.0,16,16,True,0,0,2,1,75827649,216,4,0.6606
36,0,1.0,10,10,True,0,0,1,1,75827649,59,4,0.1804
28,0,1.0,20,20,True,0,0,3,2,75828924,104,2,0.8254
32,0,1.0,13,13,True,0,0,4,2,75829171,169,4,0.7253
28,0,1.0,12,12,True,0,0,3,2,75829171,87,4,0.3734
32,0,1.0,34,34,True,0,0,2,1,75835292,106,2,0.7571
32,0,1.0,15,15,True,0,0,3,2,75836803,131,2,0.2625
32,0,1.0,14,14,True,0,0,2,2,75836803,120,2,0.2405
32,0,1.0,15,15,True,0,0,2,2,75836803,402,2,0.8056
36,0,1.0,11,11,True,0,0,1,1,75836803,452,2,0.9058
28,0,1.0,27,27,True,0,0,3,2,75837587,113,2,0.5795
28,0,1.0,28,28,True,0,0,9,2,75838010,158,4,0.5563
36,0,1.0,23,23,True,0,0,5,3,75843963,147,4,0.4579
36,0,1.0,29,29,True,0,0,2,1,75843963,289,4,0.9003
28,0,1.0,62,62,True,0,0,7,2,75845040,79,2,0.622
36,0,1.0,21,21,True,0,0,4,1,75845704,130,4,0.8609
36,0,1.0,0,0,True,0,0,2,1,75847145,325,4,0.6513
36,0,1.0,0,0,True,0,0,3,1,75847145,186,4,0.3727
28,0,1.0,7,7,True,0,0,1,1,75848499,132,2,0.9231
28,0,1.0,30,30,True,0,0,2,1,75851051,131,2,0.6359
36,0,1.0,20,20,True,0,0,0,0,75851849,69,2,0.7841
28,0,1.0,34,34,True,0,0,2,2,75852143,114,2,0.3918
