seed,reward_p0,reward_p1,win_p0,draw,steps,ships_p0,ships_p1,ships_diff,time,side,ml_wins,ml_ships_advantage
0,-1,1,0,0,249,0,3622,-3622,13.7,base_p0,1,3622
0,-1,1,0,0,208,0,2911,-2911,9.5,ml_p0,0,-2911
1,-1,1,0,0,214,0,2423,-2423,9.2,base_p0,1,2423
1,1,-1,1,0,217,4428,0,4428,18.4,ml_p0,1,4428
2,1,-1,1,0,177,2005,0,2005,6.8,base_p0,0,-2005
2,-1,1,0,0,245,0,3376,-3376,7.6,ml_p0,0,-3376
3,1,-1,1,0,266,1428,0,1428,16.6,base_p0,0,-1428
3,-1,1,0,0,215,0,4686,-4686,19.8,ml_p0,0,-4686
4,1,-1,1,0,254,3715,0,3715,13.9,base_p0,0,-3715
4,1,-1,1,0,242,4723,0,4723,24.8,ml_p0,1,4723
5,-1,1,0,0,211,0,4039,-4039,21.5,base_p0,1,4039
5,-1,1,0,0,224,0,1770,-1770,6.2,ml_p0,0,-1770
6,-1,1,0,0,204,0,3900,-3900,11.3,base_p0,1,3900
6,-1,1,0,0,216,0,3419,-3419,16.1,ml_p0,0,-3419
7,-1,1,0,0,200,0,2754,-2754,15.0,base_p0,1,2754
7,-1,1,0,0,265,0,1485,-1485,15.0,ml_p0,0,-1485
8,1,-1,1,0,146,2318,0,2318,5.4,base_p0,0,-2318
8,1,-1,1,0,302,2970,0,2970,15.1,ml_p0,1,2970
9,1,-1,1,0,379,1564,0,1564,32.9,base_p0,0,-1564
9,-1,1,0,0,229,0,1872,-1872,10.5,ml_p0,0,-1872
10,-1,1,0,0,174,0,2281,-2281,15.3,base_p0,1,2281
10,-1,1,0,0,289,0,2962,-2962,24.7,ml_p0,0,-2962
11,1,-1,1,0,298,1475,0,1475,13.5,base_p0,0,-1475
11,-1,1,0,0,314,0,5664,-5664,35.1,ml_p0,0,-5664
12,1,-1,1,0,285,1962,0,1962,13.5,base_p0,0,-1962
12,1,-1,1,0,192,2919,0,2919,15.2,ml_p0,1,2919
13,-1,1,0,0,199,0,2796,-2796,17.1,base_p0,1,2796
13,-1,1,0,0,131,0,2108,-2108,4.9,ml_p0,0,-2108
14,-1,1,0,0,316,0,3925,-3925,28.4,base_p0,1,3925
14,-1,1,0,0,269,0,6200,-6200,26.5,ml_p0,0,-6200
