seed,reward_p0,reward_p1,win_p0,draw,steps,ships_p0,ships_p1,ships_diff,time,alpha,side
0,-1,1,0,0,222,0,4216,-4216,17.0,0.0,"A=base, B=patched"
1,1,-1,1,0,259,2711,0,2711,22.7,0.0,"A=base, B=patched"
2,1,-1,1,0,138,1244,0,1244,2.9,0.0,"A=base, B=patched"
3,1,-1,1,0,305,3643,0,3643,16.8,0.0,"A=base, B=patched"
4,-1,1,0,0,247,0,3510,-3510,16.7,0.0,"A=base, B=patched"
0,1,-1,1,0,224,3032,0,3032,15.7,0.3,"A=base, B=patched"
1,-1,1,0,0,268,0,3629,-3629,23.7,0.3,"A=base, B=patched"
2,-1,1,0,0,198,0,2859,-2859,14.1,0.3,"A=base, B=patched"
3,1,-1,1,0,227,4528,0,4528,21.3,0.3,"A=base, B=patched"
4,1,-1,1,0,251,2364,0,2364,13.9,0.3,"A=base, B=patched"
0,1,-1,1,0,115,3588,0,3588,7.3,0.7,"A=base, B=patched"
1,1,-1,1,0,225,4545,0,4545,16.8,0.7,"A=base, B=patched"
2,1,-1,1,0,180,798,0,798,5.2,0.7,"A=base, B=patched"
3,-1,1,0,0,217,0,4012,-4012,21.5,0.7,"A=base, B=patched"
4,-1,1,0,0,230,0,2251,-2251,12.1,0.7,"A=base, B=patched"
0,-1,1,0,0,217,0,5162,-5162,16.5,1.0,"A=base, B=patched"
1,1,-1,1,0,299,2990,0,2990,17.5,1.0,"A=base, B=patched"
2,1,-1,1,0,246,2977,0,2977,13.0,1.0,"A=base, B=patched"
3,1,-1,1,0,282,2392,0,2392,13.4,1.0,"A=base, B=patched"
4,-1,1,0,0,161,0,1374,-1374,6.3,1.0,"A=base, B=patched"
