uuid,numeric
16ea9dfc-3fa5-11f1-84c9-0242ac130203,75368665
858ca536-3fb2-11f1-9a86-0242ac130202,75372144
31990030-3fb4-11f1-bf30-0242ac130204,75372594
3f05205a-3fbe-11f1-b485-0242ac130202,75375338
d95ef318-402e-11f1-b781-0242ac130202,75398399
f92b5c0a-4258-11f1-83ce-0242ac130204,75556366
88f49bd0-4259-11f1-aeaf-0242ac130202,75556510
7699d2ae-425c-11f1-bc34-0242ac130203,75557254
ef36b886-4265-11f1-94ff-0242ac130203,75560041
5948c3dc-429c-11f1-887f-0242ac130203,75571862
7a1616b0-434a-11f1-89c6-0242ac130203,75608555
972edb6a-434f-11f1-97d2-0242ac130206,75610004
b94f3a56-4362-11f1-bf7f-0242ac130202,75614274
147b7366-4374-11f1-ab7d-0242ac130205,75618884
30195b56-438d-11f1-af70-0242ac130203,75624437
8e9820d0-43b6-11f1-97c0-0242ac130202,75632972
c775a38c-43de-11f1-88da-0242ac130203,75641715
5d7ef176-43df-11f1-945d-0242ac130206,75641802
265abe84-43e2-11f1-900f-0242ac130202,75642437
03eda8aa-43f3-11f1-9159-0242ac130205,75645971
9b6dbfc6-43fd-11f1-92fd-0242ac130204,75648312
f3a64698-43ff-11f1-8cb6-0242ac130204,75648785
37344ae8-4402-11f1-b1b8-0242ac130202,75649223
6f7ea20c-4404-11f1-a38c-0242ac130204,75649677
d693255a-4416-11f1-9571-0242ac130202,75653592
fac531e2-4417-11f1-9731-0242ac130202,75653796
23929f30-444d-11f1-84ef-0242ac130202,75665474
afaa8460-444d-11f1-929d-0242ac130206,75665680
db30a268-446b-11f1-ad3a-0242ac130203,75672648
d031d5ea-4474-11f1-9e1f-0242ac130204,75674654
24ccfe48-4486-11f1-b970-0242ac130203,75678738
b72a2b4e-4486-11f1-ba1c-0242ac130204,75678884
4140f2e6-4495-11f1-98b3-0242ac130202,75681966
5f2afc74-4496-11f1-9003-0242ac130204,75682275
963098ee-4498-11f1-8231-0242ac130203,75682823
9dea8752-449d-11f1-9bbf-0242ac130203,75684015
346e6928-44c1-11f1-bd54-0242ac130203,75692201
5a482d9a-44c7-11f1-82e8-0242ac130205,75693268
f1a82adc-44c7-11f1-91f7-0242ac130205,75693368
915e4790-44d3-11f1-8161-0242ac130202,75696094
d818791a-44d5-11f1-be89-0242ac130205,75696709
09d31436-44d8-11f1-b88a-0242ac130202,75697081
290a909e-44d9-11f1-9f9e-0242ac130206,75697366
b63a3d8e-44d9-11f1-b114-0242ac130202,75697432
80f798e4-44dc-11f1-8fae-0242ac130203,75698121
9431b9f8-44e1-11f1-96f3-0242ac130206,75699482
ae471954-44e2-11f1-aea1-0242ac130202,75699913
398c67ee-44e3-11f1-815f-0242ac130203,75700277
0d0404ae-44e6-11f1-b854-0242ac130203,75701419
49a64c4e-44e8-11f1-b658-0242ac130203,75701856
ba6341b4-44fa-11f1-9200-0242ac130204,75706370
5f3d39ec-450a-11f1-a4cb-0242ac130205,75709643
3106f13c-450d-11f1-9317-0242ac130202,75710307
991c7b9a-451f-11f1-9f27-0242ac130206,75714286
c7c41ee8-452a-11f1-9140-0242ac130203,75716279
9edd2986-4532-11f1-b2d7-0242ac130202,75717722
9e65db50-457e-11f1-a252-0242ac130204,75731565
c15c8f5e-4589-11f1-ba2f-0242ac130203,75733699
46fd7d40-4598-11f1-8e80-0242ac130202,75736695
7543c924-459e-11f1-94ca-0242ac130205,75738228
1a39d87e-45b3-11f1-8122-0242ac130203,75743036
0c37ef4c-45cf-11f1-947d-0242ac130204,75749145
21c51c3c-45ec-11f1-8b20-0242ac130203,75755341
1b568c20-460d-11f1-8edc-0242ac130203,75760975
a75e67ba-460d-11f1-bc2b-0242ac130203,75761040
ff20198a-4644-11f1-bd95-0242ac130206,75773401
453cba66-4651-11f1-8501-0242ac130204,75776178
d4120002-4651-11f1-9ad6-0242ac130202,75776353
2e1e280c-4655-11f1-b3b3-0242ac130206,75777084
de1e36b0-4656-11f1-8aff-0242ac130202,75777398
c83bbb16-465a-11f1-b8dc-0242ac130204,75778169
eb738216-465b-11f1-8816-0242ac130202,75778542
1e749c20-465e-11f1-85b0-0242ac130202,75778962
878c826a-466b-11f1-afb9-0242ac130204,75781174
19e0d04e-466c-11f1-a735-0242ac130203,75781277
cc47f168-4676-11f1-a361-0242ac130203,75783574
5b659256-4677-11f1-a800-0242ac130204,75783641
b789c856-467a-11f1-ba07-0242ac130202,75784201
44b9a8f4-4680-11f1-bf18-0242ac130203,75785726
daf0d1a8-4685-11f1-b941-0242ac130204,75787078
6a9496c4-468f-11f1-a584-0242ac130206,75789044
5af156ea-469d-11f1-b71d-0242ac130202,75791936
b51ee99a-46a0-11f1-861b-0242ac130204,75792704
312c721a-46aa-11f1-8f82-0242ac130203,75794847
e71ef254-46b0-11f1-9797-0242ac130202,75796408
5cecf0f4-46b5-11f1-8577-0242ac130202,75797343
d20e287c-46b9-11f1-9782-0242ac130203,75798580
89a690d6-46bb-11f1-8f13-0242ac130203,75798980
892adf18-46c0-11f1-a196-0242ac130202,75800164
a7354f0e-46fa-11f1-9438-0242ac130205,75811302
adef9d7c-46fa-11f1-a1c0-0242ac130204,75811319
ce25c912-46fb-11f1-a9b0-0242ac130202,75811544
56abfa68-46fc-11f1-9c4e-0242ac130203,75811657
7210e84e-46fd-11f1-be34-0242ac130202,75811794
cdc1e622-4700-11f1-9354-0242ac130203,75812685
0c21f16c-4703-11f1-bcd9-0242ac130205,75813131
965c3a04-4703-11f1-8f10-0242ac130203,75813241
7e3cd692-470b-11f1-9a3d-0242ac130202,75815070
1c19ab32-470d-11f1-bb75-0242ac130204,75815433
16b84cfc-470d-11f1-ba78-0242ac130203,75815465
066f9c84-4711-11f1-b795-0242ac130203,75816344
b78b2c8a-4712-11f1-a3a5-0242ac130203,75816639
94bf41ac-471a-11f1-8975-0242ac130203,75818582
ddbbfdb2-4721-11f1-bb5a-0242ac130206,75820022
1bbb57dc-4724-11f1-9221-0242ac130204,75820420
5d5931c6-472b-11f1-8774-0242ac130206,75822007
e7ed4b2e-472b-11f1-90e9-0242ac130203,75822068
ce43f232-472f-11f1-88e9-0242ac130203,75823093
c12a380a-4738-11f1-9301-0242ac130204,75825240
4efef29c-4739-11f1-83ec-0242ac130204,75825491
4722b046-473d-11f1-afef-0242ac130205,75826365
57db6a76-473e-11f1-a7bc-0242ac130204,75826720
911d9136-4740-11f1-bb8e-0242ac130202,75827029
d43da62a-4742-11f1-9ac3-0242ac130205,75827649
11968c24-474a-11f1-95f0-0242ac130204,75828924
cc638d44-474b-11f1-b19f-0242ac130204,75829171
3aaa2c88-4768-11f1-bbf9-0242ac130203,75835292
651b9ec4-476e-11f1-801d-0242ac130202,75836803
af7ee870-4770-11f1-901a-0242ac130203,75837587
9e5cd96c-4770-11f1-9359-0242ac130203,75837588
4d05d8a0-4772-11f1-873d-0242ac130205,75838010
7ba3c0b8-477d-11f1-8b34-0242ac130203,75840329
7db1df84-477d-11f1-bfb8-0242ac130203,75840368
23206cba-478d-11f1-93c8-0242ac130202,75843788
454937ee-478e-11f1-b5b0-0242ac130206,75843963
4789a7b0-4797-11f1-9053-0242ac130203,75845040
c888b3ce-4797-11f1-ac61-0242ac130204,75845161
55906d70-4798-11f1-bcfa-0242ac130204,75845337
923ee4a2-479a-11f1-be94-0242ac130206,75845704
d2cb0e5e-47a1-11f1-be36-0242ac130205,75847145
675a8b30-47a7-11f1-98e0-0242ac130202,75848499
a79541e8-47ae-11f1-8281-0242ac130202,75850159
a678620e-47ae-11f1-8623-0242ac130204,75850258
59004eea-47b0-11f1-82be-0242ac130203,75850508
938adba0-47b2-11f1-897b-0242ac130203,75851051
26893c62-47b3-11f1-85c3-0242ac130204,75851214
0cb19984-47b7-11f1-a76a-0242ac130203,75851849
2c5ecbca-47b8-11f1-9c83-0242ac130202,75852143
4ef149d2-47b9-11f1-b551-0242ac130205,75852471
c36d0d06-47bd-11f1-a439-0242ac130206,75853717
e396e6be-47be-11f1-849f-0242ac130203,75853843
6f308298-47bf-11f1-bce6-0242ac130203,75854043
a8fa9f3e-47c1-11f1-b533-0242ac130206,75854436
59b40436-47c3-11f1-9c70-0242ac130202,75854766
73becd24-47c4-11f1-82f2-0242ac130202,75854976
0432fca4-47c5-11f1-a84e-0242ac130204,75855112
b19ab778-47c6-11f1-9bcd-0242ac130203,75855494
ee9d59c6-47c8-11f1-9314-0242ac130203,75856083
0809d938-47ca-11f1-aac9-0242ac130203,75856289
e5d7ab80-47cc-11f1-9926-0242ac130203,75856880
e0927bbe-47d1-11f1-8792-0242ac130203,75858039
6c111bb0-47d6-11f1-9772-0242ac130205,75859612
f9666d08-47e0-11f1-8c11-0242ac130206,75862353
939b529e-47e1-11f1-b472-0242ac130202,75862477
2b3cb188-47e2-11f1-b936-0242ac130203,75862678
d431e9b0-47e3-11f1-b4dc-0242ac130206,75863121
db56e7a4-47e3-11f1-a22e-0242ac130202,75863142
aad6f3e0-47e7-11f1-b5f7-0242ac130204,75864159
0bed64b8-47eb-11f1-b3aa-0242ac130206,75864891
03c9c448-47eb-11f1-92ca-0242ac130204,75864911
bcea74c6-47ec-11f1-aed3-0242ac130205,75865456
0f38f52e-47f0-11f1-b75f-0242ac130202,75866275
d942b8a8-47f2-11f1-b0e7-0242ac130204,75867151
e44c6e1a-47fc-11f1-8ca9-0242ac130203,75870117
38afccfc-4809-11f1-9c58-0242ac130202,75872623
2ad6238e-4812-11f1-9b17-0242ac130204,75874543
36bf54ae-4817-11f1-8fd6-0242ac130204,75875734
1f98de72-4820-11f1-a11d-0242ac130202,75877534
ce48c832-4821-11f1-9b22-0242ac130203,75878390
7fa4006e-4823-11f1-af7e-0242ac130204,75880085
e5257582-4826-11f1-83b2-0242ac130204,75882192
13e9f842-4850-11f1-a7e3-0242ac130203,75886361
34e9d2dc-4856-11f1-ac97-0242ac130203,75888085
336156a6-4856-11f1-b119-0242ac130204,75888091
c918d386-4856-11f1-9721-0242ac130203,75888282
470f0900-4860-11f1-8307-0242ac130203,75890927
4461acf8-4860-11f1-b53f-0242ac130203,75890977
42fdd72e-4860-11f1-b635-0242ac130203,75890978
d63f55f8-4860-11f1-a927-0242ac130204,75891081
851a29c6-4862-11f1-afa9-0242ac130203,75891671
8472a11a-4862-11f1-a717-0242ac130203,75891694
bd6c8d94-4864-11f1-a6fe-0242ac130203,75892238
dc5aaaa0-4865-11f1-af86-0242ac130204,75892635
52a5ed34-486e-11f1-9d13-0242ac130203,75895003
ca77674e-4872-11f1-a6a4-0242ac130204,75896280
00d771f6-4875-11f1-94b1-0242ac130203,75896918
ac2ac660-4876-11f1-8a7f-0242ac130203,75897382
083841c8-487a-11f1-834a-0242ac130203,75898362
9c61ef48-487a-11f1-b875-0242ac130202,75898624
fa4b313e-487d-11f1-ba04-0242ac130204,75899584
12b57f12-487f-11f1-a2e4-0242ac130203,75899927
a2e528da-487f-11f1-a7db-0242ac130202,75900177
32f45478-4880-11f1-96ca-0242ac130203,75900368
0492c8b4-4888-11f1-873d-0242ac130204,75902356
3fee8a22-488a-11f1-b543-0242ac130203,75902962
bac20ed2-488e-11f1-b66d-0242ac130206,75904310
c3ffe73a-4893-11f1-b5cc-0242ac130205,75905571
da449620-4894-11f1-acf0-0242ac130204,75905839
5cda6b9c-4899-11f1-92a3-0242ac130203,75907512
9ac96b30-489c-11f1-8c9d-0242ac130204,75908481
219617ee-489d-11f1-8b79-0242ac130202,75908621
4586b95a-489e-11f1-96f7-0242ac130204,75909283
6087ba64-489f-11f1-8ff9-0242ac130204,75909571
7a62077c-48a0-11f1-bdfe-0242ac130204,75909889
08686d36-48a1-11f1-9855-0242ac130205,75910069
0a694cfe-48a1-11f1-98ae-0242ac130205,75910097
b55b94cc-48a2-11f1-8e3a-0242ac130202,75910559
