bin,lo,hi,n,auc,pos_rate,brier
0,0.0,0.05,2798,0.5987,0.3081,0.2041
1,0.05,0.1,2712,0.6435,0.3075,0.2018
2,0.1,0.15,2680,0.6908,0.3075,0.1904
3,0.15,0.2,2728,0.7478,0.3083,0.1802
4,0.2,0.25,2698,0.758,0.3076,0.1781
5,0.25,0.3,2686,0.8092,0.3075,0.1606
6,0.3,0.35,2700,0.8304,0.3078,0.1498
7,0.35,0.4,2714,0.8386,0.3077,0.1476
8,0.4,0.45,2690,0.863,0.3074,0.137
9,0.45,0.5,2740,0.9024,0.3073,0.1158
10,0.5,0.551,2672,0.9276,0.308,0.099
11,0.551,0.601,2686,0.9456,0.3075,0.0867
12,0.601,0.651,2718,0.944,0.3072,0.085
13,0.651,0.701,2694,0.9676,0.3081,0.0629
14,0.701,0.751,2690,0.9807,0.3067,0.0453
15,0.751,0.801,2704,0.9795,0.3084,0.0414
16,0.801,0.851,2722,0.9911,0.3075,0.0298
17,0.851,0.901,2688,0.9929,0.308,0.0247
18,0.901,0.951,2702,0.9916,0.3079,0.0215
19,0.951,1.001,2762,0.9986,0.3077,0.0176
