bin,lo,hi,n,mean,std,skew,kurt,bimodality_coef,is_bimodal_naive
0,0.0,0.05,2798,0.3131,0.0952,1.0732,3.1033,0.6934,True
1,0.05,0.1,2712,0.2946,0.1214,0.6549,3.5296,0.4048,False
2,0.1,0.15,2680,0.2785,0.1569,0.8564,4.185,0.4142,False
3,0.15,0.2,2728,0.2713,0.189,0.9138,3.8161,0.4808,False
4,0.2,0.25,2698,0.2688,0.2121,0.8978,3.4713,0.5203,False
5,0.25,0.3,2686,0.2794,0.2479,0.945,3.1488,0.6012,True
6,0.3,0.35,2700,0.2901,0.2683,0.9039,2.9388,0.6183,True
7,0.35,0.4,2714,0.2931,0.2838,0.9435,2.9261,0.646,True
8,0.4,0.45,2690,0.3009,0.2915,0.8911,2.7997,0.6408,True
9,0.45,0.5,2740,0.3059,0.3031,0.8851,2.6846,0.6643,True
10,0.5,0.551,2672,0.3178,0.3284,0.8288,2.3674,0.7125,True
11,0.551,0.601,2686,0.3223,0.3429,0.791,2.198,0.7396,True
12,0.601,0.651,2718,0.3261,0.3577,0.7929,2.0986,0.776,True
13,0.651,0.701,2694,0.332,0.3794,0.7974,1.9724,0.8294,True
14,0.701,0.751,2690,0.3315,0.3957,0.8095,1.9068,0.8681,True
15,0.751,0.801,2704,0.334,0.415,0.7938,1.7889,0.9112,True
16,0.801,0.851,2722,0.3291,0.4253,0.8056,1.759,0.9374,True
17,0.851,0.901,2688,0.3189,0.4332,0.8423,1.7831,0.9587,True
18,0.901,0.951,2702,0.3126,0.4413,0.8452,1.7516,0.9788,True
19,0.951,1.001,2762,0.3107,0.4431,0.8337,1.7357,0.9766,True
