episode_id,player_idx,n_steps,phase_argmax,max_dv,final_label
75368665,0,75,0.0133,0.0932,0
75368665,1,75,0.9733,0.1975,1
75648312,0,181,0.0,0.0523,0
75648312,1,181,0.0,0.0523,0
75648312,2,181,0.9889,0.1975,1
75648312,3,181,0.0,0.0518,0
75682275,0,174,0.0058,0.0536,0
75682275,1,174,0.5318,0.0626,0
75682275,2,174,0.0058,0.0536,0
75682275,3,174,0.9942,0.1975,1
75696709,0,127,0.4921,0.0628,0
75696709,1,127,0.0079,0.0555,0
75696709,2,127,0.0079,0.0555,0
75696709,3,127,0.9841,0.1975,1
75699482,0,301,0.0,0.0523,0
75699482,1,301,0.12,0.0538,0
75699482,2,301,0.3933,0.0782,0
75699482,3,301,0.9933,0.1975,1
75699913,0,160,0.9874,0.1975,1
75699913,1,160,0.6667,0.1024,0
75709643,0,249,0.0,0.0523,0
75709643,1,249,0.2258,0.0563,0
75709643,2,249,0.2258,0.0625,0
75709643,3,249,0.9919,0.1975,1
75714286,0,367,0.9945,0.1975,1
75714286,1,367,0.0027,0.0555,0
75714286,2,367,0.765,0.0556,0
75714286,3,367,0.5956,0.0729,0
75717722,0,500,0.996,0.1862,0
75717722,1,500,0.3768,0.0659,1
75717722,2,500,0.2946,0.0613,0
75717722,3,500,0.3046,0.059,0
75749145,0,320,0.9937,0.1975,1
75749145,1,320,0.0,0.0523,0
75749145,2,320,0.7304,0.0755,0
75749145,3,320,0.3041,0.1017,0
75789044,0,500,0.0,0.0523,0
75789044,1,500,0.996,0.1974,1
75789044,2,500,0.3186,0.0633,0
75789044,3,500,0.0,0.0523,0
75813241,0,500,0.996,0.1975,1
75813241,1,500,0.0,0.0945,0
75816344,0,373,0.0,0.0581,0
75816344,1,373,0.9946,0.1975,1
75816344,2,373,0.5215,0.1202,0
75816344,3,373,0.0,0.0559,0
75823093,0,190,0.0,0.0925,0
75823093,1,190,0.9894,0.1975,1
75829171,0,234,0.5236,0.0622,0
75829171,1,234,0.6094,0.0598,0
75829171,2,234,0.9914,0.1975,1
75829171,3,234,0.0,0.0543,0
75850159,0,306,0.9934,0.1975,1
75850159,1,306,0.0,0.0945,0
75850258,0,122,0.0,0.0948,0
75850258,1,122,0.9917,0.1975,1
75851214,0,162,0.9876,0.1975,1
75851214,1,162,0.0,0.0985,0
75852471,0,185,0.9891,0.1975,1
75852471,1,185,0.0,0.0559,0
75852471,2,185,0.0,0.0559,0
75852471,3,185,0.0,0.0559,0
75854976,0,160,0.9874,0.1975,1
75854976,1,160,0.0,0.0924,0
75855112,0,130,0.9845,0.1975,1
75855112,1,130,0.0,0.0984,0
75858039,0,178,0.9887,0.1975,1
75858039,1,178,0.4407,0.1152,0
75864911,0,500,0.1423,0.0623,0
75864911,1,500,0.0,0.058,0
75864911,2,500,0.996,0.1975,1
75864911,3,500,0.3206,0.0842,0
75872623,0,159,0.3165,0.113,0
75872623,1,159,0.9873,0.1975,1
75875734,0,119,0.9831,0.1975,1
75875734,1,119,0.0,0.0945,0
75878390,0,168,0.6048,0.1053,0
75878390,1,168,0.988,0.1975,1
75886361,0,152,0.0,0.0523,0
75886361,1,152,0.0,0.0523,0
75886361,2,152,0.9868,0.1975,1
75886361,3,152,0.0,0.0523,0
75888282,0,143,0.9859,0.1975,1
75888282,1,143,0.0,0.0945,0
75890977,0,266,0.9925,0.1975,1
75890977,1,266,0.5245,0.1194,0
75896918,0,199,0.0,0.0938,0
75896918,1,199,0.9899,0.1975,1
75900177,0,201,0.99,0.1975,1
75900177,1,201,0.0,0.0945,0
75905839,0,94,0.0108,0.0983,0
75905839,1,94,0.9892,0.1928,1
75921657,0,105,0.0,0.0938,0
75921657,1,105,0.9808,0.1975,1
75925168,0,171,0.5824,0.066,0
75925168,1,171,0.9882,0.1975,1
75925168,2,171,0.0,0.0508,0
75925168,3,171,0.4176,0.053,0
75927660,0,158,0.9873,0.1975,1
75927660,1,158,0.0,0.0945,0
75928517,0,152,0.9868,0.1975,1
75928517,1,152,0.0,0.0945,0
75930516,0,194,0.9896,0.1975,1
75930516,1,194,0.5648,0.104,0
75937328,0,155,0.987,0.1975,1
75937328,1,155,0.0,0.0523,0
75937328,2,155,0.0,0.0523,0
75937328,3,155,0.0065,0.0543,0
75939046,0,146,0.9931,0.1974,1
75939046,1,146,0.0,0.0995,0
75942176,0,147,0.9863,0.1975,1
75942176,1,147,0.0,0.0989,0
75959429,0,172,0.0058,0.0523,0
75959429,1,172,0.9883,0.1975,1
75959429,2,172,0.7661,0.0564,0
75959429,3,172,0.0058,0.0523,0
75964932,0,178,0.9887,0.1975,1
75964932,1,178,0.0056,0.0985,0
75976337,0,219,0.4679,0.1074,0
75976337,1,219,0.9908,0.1975,1
75984949,0,192,0.9895,0.1975,1
75984949,1,192,0.0052,0.0999,0
75995342,0,214,0.338,0.1433,0
75995342,1,214,0.9906,0.1975,1
75998767,0,500,0.4729,0.0572,0
75998767,1,500,0.521,0.0692,0
75998767,2,500,0.998,0.1975,1
75998767,3,500,0.0,0.0523,0
76004820,0,209,0.0048,0.058,0
76004820,1,209,0.0048,0.058,0
76004820,2,209,0.0048,0.058,0
76004820,3,209,0.9904,0.1975,1
76012428,0,160,0.0,0.0945,0
76012428,1,160,0.9874,0.1975,1
76059391,0,111,0.0,0.0523,0
76059391,1,111,0.0091,0.0543,0
76059391,2,111,0.0,0.0523,0
76059391,3,111,0.9818,0.1975,1
76063562,0,223,0.1622,0.0566,0
76063562,1,223,0.0,0.0519,0
76063562,2,223,0.991,0.1975,1
76063562,3,223,0.0,0.0529,0
76090421,0,195,0.9897,0.1975,1
76090421,1,195,0.0,0.0519,0
76090421,2,195,0.0052,0.0519,0
76090421,3,195,0.0,0.0519,0
76117280,0,167,0.988,0.1975,1
76117280,1,167,0.006,0.0536,0
76117280,2,167,0.006,0.0536,0
76117280,3,167,0.006,0.0536,0
76126973,0,167,0.988,0.1975,1
76126973,1,167,0.0,0.0924,0
76132264,0,255,0.9921,0.1975,1
76132264,1,255,0.0,0.0519,0
76132264,2,255,0.0,0.0519,0
76132264,3,255,0.0,0.0519,0
76156832,0,336,0.0,0.0559,0
76156832,1,336,0.3463,0.0671,0
76156832,2,336,0.0,0.0559,0
76156832,3,336,0.994,0.1975,1
76161698,0,500,0.0,0.0523,0
76161698,1,500,0.998,0.1899,1
76161698,2,500,0.8958,0.0543,0
76161698,3,500,0.0,0.0523,0
76195833,0,153,0.0,0.0529,0
76195833,1,153,0.0,0.0543,0
76195833,2,153,0.0066,0.0529,0
76195833,3,153,0.9868,0.1975,1
76216031,0,131,0.9846,0.1975,1
76216031,1,131,0.4,0.0536,0
76216031,2,131,0.0,0.0523,0
76216031,3,131,0.0,0.0523,0
76240663,0,214,0.0,0.0536,0
76240663,1,214,0.9906,0.1975,1
76240663,2,214,0.0047,0.0536,0
76240663,3,214,0.0047,0.054,0
76296024,0,319,0.566,0.0566,0
76296024,1,319,0.8648,0.0597,0
76296024,2,319,0.0,0.0523,0
76296024,3,319,0.9937,0.1975,1
76324744,0,184,0.0,0.0564,0
76324744,1,184,0.4153,0.0703,0
76324744,2,184,0.0,0.0569,0
76324744,3,184,0.9891,0.1975,1
76359751,0,330,0.0,0.0523,0
76359751,1,330,0.0,0.0523,0
76359751,2,330,0.9939,0.1975,1
76359751,3,330,0.5258,0.0966,0
76397269,0,286,0.0,0.0945,0
76397269,1,286,0.993,0.1975,1
76404318,0,237,0.9915,0.1975,1
76404318,1,237,0.0,0.0523,0
76404318,2,237,0.0,0.0523,0
76404318,3,237,0.5847,0.0984,0
76404703,0,187,0.0,0.0514,0
76404703,1,187,0.0,0.0514,0
76404703,2,187,0.9892,0.1975,1
76404703,3,187,0.0,0.0514,0
76448561,0,211,0.0,0.0945,0
76448561,1,211,0.9905,0.1975,1
76453508,0,138,0.0,0.0979,0
76453508,1,138,0.9854,0.1975,1
76475658,0,128,0.0079,0.0539,0
76475658,1,128,0.0079,0.0519,0
76475658,2,128,0.0079,0.0519,0
76475658,3,128,0.9843,0.1975,1
76476141,0,143,0.1479,0.0603,0
76476141,1,143,0.0,0.0559,0
76476141,2,143,0.9859,0.1975,1
76476141,3,143,0.0,0.0559,0
76481945,0,114,0.9823,0.1975,1
76481945,1,114,0.0088,0.0994,0
76483783,0,500,0.0,0.058,0
76483783,1,500,0.8216,0.0683,0
76483783,2,500,0.3848,0.1315,1
76483783,3,500,0.1483,0.1001,0
76593975,0,312,0.9936,0.1975,1
76593975,1,312,0.0,0.0559,0
76593975,2,312,0.0,0.058,0
76593975,3,312,0.283,0.0987,0
76623067,0,197,0.0,0.0555,0
76623067,1,197,0.0,0.0555,0
76623067,2,197,0.9898,0.1975,1
76623067,3,197,0.0,0.0536,0
76670723,0,139,0.9855,0.1975,1
76670723,1,139,0.0,0.0984,0
76682997,0,228,0.0044,0.0646,0
76682997,1,228,0.652,0.1013,0
76682997,2,228,0.3656,0.0683,0
76682997,3,228,0.9912,0.1975,1
