bin,lo,hi,n_win,n_los,mean_v_winners,mean_v_losers,var_v_all
0,0.0,0.05,862,1936,0.3426,0.3,0.00906
1,0.05,0.1,834,1878,0.3369,0.2758,0.01474
2,0.1,0.15,824,1856,0.3565,0.2439,0.02462
3,0.15,0.2,841,1887,0.385,0.2206,0.03574
4,0.2,0.25,830,1868,0.4011,0.2101,0.04501
5,0.25,0.3,826,1860,0.4658,0.1966,0.06149
6,0.3,0.35,831,1869,0.5103,0.1922,0.07203
7,0.35,0.4,835,1879,0.5307,0.1875,0.08058
8,0.4,0.45,827,1863,0.5627,0.1848,0.08502
9,0.45,0.5,842,1898,0.6134,0.1695,0.09189
10,0.5,0.551,823,1849,0.6783,0.1574,0.10789
11,0.551,0.601,826,1860,0.7189,0.1461,0.11759
12,0.601,0.651,835,1883,0.743,0.1413,0.12802
13,0.651,0.701,830,1864,0.8104,0.119,0.14397
14,0.701,0.751,825,1865,0.8606,0.0974,0.15665
15,0.751,0.801,834,1870,0.893,0.0847,0.17232
16,0.801,0.851,837,1885,0.9219,0.0659,0.18099
17,0.851,0.901,828,1860,0.9295,0.047,0.18771
18,0.901,0.951,832,1870,0.9399,0.0335,0.19479
19,0.951,1.001,850,1912,0.9472,0.0277,0.19643
