seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec
0,opp_1101,opp_1101,1,0,1.0,-1.0,226,36,0,5370.0,0.0,64.0,0.0,5370.0,26.9
1,opp_1101,opp_1101,1,0,1.0,-1.0,206,24,0,2829.0,0.0,68.0,0.0,2829.0,18.7
2,opp_1101,opp_1101,0,0,-1.0,1.0,244,0,24,0.0,3669.0,0.0,60.0,-3669.0,19.2
3,opp_1101,opp_1101,0,0,-1.0,1.0,167,0,32,0.0,3028.0,0.0,96.0,-3028.0,16.2
4,opp_1101,opp_1101,0,0,-1.0,1.0,190,0,24,0.0,2845.0,0.0,80.0,-2845.0,15.7
5,opp_1101,opp_1101,1,0,1.0,-1.0,166,36,0,7162.0,0.0,104.0,0.0,7162.0,19.6
6,opp_1101,opp_1101,1,0,1.0,-1.0,176,28,0,6399.0,0.0,100.0,0.0,6399.0,12.8
7,opp_1101,opp_1101,0,0,-1.0,1.0,294,0,24,0.0,2623.0,0.0,64.0,-2623.0,29.2
8,opp_1101,opp_1101,0,0,-1.0,1.0,210,0,28,0.0,3896.0,0.0,80.0,-3896.0,23.2
9,opp_1101,opp_1101,1,0,1.0,-1.0,210,24,0,4101.0,0.0,64.0,0.0,4101.0,15.8
10,opp_1101,opp_1101,0,0,-1.0,1.0,158,0,24,0.0,3359.0,0.0,80.0,-3359.0,17.1
11,opp_1101,opp_1101,1,0,1.0,-1.0,200,24,0,4571.0,0.0,76.0,0.0,4571.0,15.3
12,opp_1101,opp_1101,1,0,1.0,-1.0,162,24,0,5363.0,0.0,72.0,0.0,5363.0,8.0
13,opp_1101,opp_1101,1,0,1.0,-1.0,166,24,0,4690.0,0.0,96.0,0.0,4690.0,12.9
14,opp_1101,opp_1101,1,0,1.0,-1.0,182,32,0,4853.0,0.0,68.0,0.0,4853.0,19.6
15,opp_1101,opp_1101,1,0,1.0,-1.0,198,24,0,2856.0,0.0,72.0,0.0,2856.0,13.8
16,opp_1101,opp_1101,1,0,1.0,-1.0,150,24,0,3715.0,0.0,64.0,0.0,3715.0,7.6
17,opp_1101,opp_1101,0,0,-1.0,1.0,163,0,40,0.0,3650.0,0.0,88.0,-3650.0,23.4
18,opp_1101,opp_1101,0,0,-1.0,1.0,158,0,28,0.0,2363.0,0.0,60.0,-2363.0,13.3
19,opp_1101,opp_1101,1,0,1.0,-1.0,116,21,0,1916.0,0.0,66.0,0.0,1916.0,4.8
20,opp_1101,opp_1101,1,0,1.0,-1.0,190,28,0,3816.0,0.0,56.0,0.0,3816.0,14.9
21,opp_1101,opp_1101,1,0,1.0,-1.0,166,24,0,3268.0,0.0,60.0,0.0,3268.0,7.8
22,opp_1101,opp_1101,0,0,-1.0,1.0,123,0,26,0.0,1765.0,0.0,54.0,-1765.0,9.2
23,opp_1101,opp_1101,1,0,1.0,-1.0,192,24,0,4122.0,0.0,68.0,0.0,4122.0,15.0
24,opp_1101,opp_1101,1,0,1.0,-1.0,231,32,0,5239.0,0.0,80.0,0.0,5239.0,27.6
25,opp_1101,opp_1101,1,0,1.0,-1.0,273,30,0,4422.0,0.0,74.0,0.0,4422.0,25.3
26,opp_1101,opp_1101,1,0,1.0,-1.0,186,24,0,3813.0,0.0,72.0,0.0,3813.0,13.2
27,opp_1101,opp_1101,1,0,1.0,-1.0,138,28,0,4076.0,0.0,76.0,0.0,4076.0,6.2
28,opp_1101,opp_1101,1,0,1.0,-1.0,158,26,0,5033.0,0.0,94.0,0.0,5033.0,12.1
29,opp_1101,opp_1101,1,0,1.0,-1.0,185,28,0,5275.0,0.0,88.0,0.0,5275.0,20.3
