seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec
0,opp_exposed,opp_exposed,1,0,1.0,-1.0,215,32,0,4813.0,0.0,72.0,0.0,4813.0,27.0
1,opp_exposed,opp_exposed,1,0,1.0,-1.0,261,25,0,4513.0,0.0,69.0,0.0,4513.0,26.6
2,opp_exposed,opp_exposed,1,0,1.0,-1.0,128,32,0,4192.0,0.0,84.0,0.0,4192.0,9.7
3,opp_exposed,opp_exposed,1,0,1.0,-1.0,195,36,0,5835.0,0.0,84.0,0.0,5835.0,29.8
4,opp_exposed,opp_exposed,0,0,-1.0,1.0,187,0,28,0.0,4026.0,0.0,92.0,-4026.0,17.8
5,opp_exposed,opp_exposed,0,0,-1.0,1.0,226,0,32,0.0,2804.0,0.0,64.0,-2804.0,35.7
6,opp_exposed,opp_exposed,1,0,1.0,-1.0,234,36,0,4077.0,0.0,64.0,0.0,4077.0,35.2
7,opp_exposed,opp_exposed,0,0,-1.0,1.0,201,0,24,0.0,2258.0,0.0,68.0,-2258.0,18.8
8,opp_exposed,opp_exposed,1,0,1.0,-1.0,193,28,0,3798.0,0.0,60.0,0.0,3798.0,17.8
9,opp_exposed,opp_exposed,1,0,1.0,-1.0,186,28,0,4913.0,0.0,72.0,0.0,4913.0,19.3
10,opp_exposed,opp_exposed,0,0,-1.0,1.0,80,0,19,0.0,1075.0,0.0,46.0,-1075.0,3.1
11,opp_exposed,opp_exposed,1,0,1.0,-1.0,213,24,0,2004.0,0.0,40.0,0.0,2004.0,14.8
12,opp_exposed,opp_exposed,0,0,-1.0,1.0,190,0,28,0.0,3947.0,0.0,84.0,-3947.0,22.7
13,opp_exposed,opp_exposed,0,0,-1.0,1.0,122,0,31,0.0,2598.0,0.0,71.0,-2598.0,16.1
14,opp_exposed,opp_exposed,1,0,1.0,-1.0,288,24,0,3409.0,0.0,68.0,0.0,3409.0,27.7
15,opp_exposed,opp_exposed,1,0,1.0,-1.0,250,24,0,2265.0,0.0,60.0,0.0,2265.0,20.5
16,opp_exposed,opp_exposed,1,0,1.0,-1.0,167,41,0,5669.0,0.0,105.0,0.0,5669.0,30.4
17,opp_exposed,opp_exposed,1,0,1.0,-1.0,150,24,0,2591.0,0.0,60.0,0.0,2591.0,8.4
18,opp_exposed,opp_exposed,0,0,-1.0,1.0,201,0,32,0.0,2954.0,0.0,72.0,-2954.0,26.1
19,opp_exposed,opp_exposed,1,0,1.0,-1.0,158,29,0,2987.0,0.0,53.0,0.0,2987.0,6.3
20,opp_exposed,opp_exposed,1,0,1.0,-1.0,222,36,0,8433.0,0.0,120.0,0.0,8433.0,34.7
21,opp_exposed,opp_exposed,1,0,1.0,-1.0,148,28,0,3946.0,0.0,72.0,0.0,3946.0,8.9
22,opp_exposed,opp_exposed,1,0,1.0,-1.0,192,28,0,5892.0,0.0,88.0,0.0,5892.0,16.8
23,opp_exposed,opp_exposed,1,0,1.0,-1.0,213,40,0,5587.0,0.0,96.0,0.0,5587.0,33.6
24,opp_exposed,opp_exposed,1,0,1.0,-1.0,185,28,0,3148.0,0.0,84.0,0.0,3148.0,19.1
25,opp_exposed,opp_exposed,1,0,1.0,-1.0,180,35,0,4257.0,0.0,71.0,0.0,4257.0,17.9
26,opp_exposed,opp_exposed,0,0,-1.0,1.0,171,0,36,0.0,3480.0,0.0,100.0,-3480.0,28.2
27,opp_exposed,opp_exposed,1,0,1.0,-1.0,160,36,0,2793.0,0.0,48.0,0.0,2793.0,10.9
28,opp_exposed,opp_exposed,1,0,1.0,-1.0,209,32,0,3947.0,0.0,68.0,0.0,3947.0,23.2
29,opp_exposed,opp_exposed,1,0,1.0,-1.0,151,24,0,4343.0,0.0,88.0,0.0,4343.0,8.7
