seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec
0,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,179,27,0,1558.0,0.0,35.0,0.0,1558.0,4.1
1,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,201,20,0,1969.0,0.0,60.0,0.0,1969.0,3.3
2,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,125,32,0,1892.0,0.0,92.0,0.0,1892.0,3.6
3,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,57,11,0,718.0,0.0,36.0,0.0,718.0,1.6
4,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,192,32,0,4693.0,0.0,84.0,0.0,4693.0,7.6
5,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,195,0,29,0.0,3088.0,0.0,87.0,-3088.0,6.3
6,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,139,28,0,2957.0,0.0,76.0,0.0,2957.0,3.6
7,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,138,20,0,1948.0,0.0,60.0,0.0,1948.0,2.0
8,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,149,24,0,2610.0,0.0,76.0,0.0,2610.0,3.2
9,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,204,0,26,0.0,3613.0,0.0,84.0,-3613.0,6.4
10,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,151,0,20,0.0,3753.0,0.0,52.0,-3753.0,3.0
11,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,148,32,0,2695.0,0.0,108.0,0.0,2695.0,4.7
12,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,234,22,0,1407.0,0.0,50.0,0.0,1407.0,4.6
13,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,154,0,24,0.0,3122.0,0.0,88.0,-3122.0,3.0
14,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,109,26,0,1834.0,0.0,69.0,0.0,1834.0,2.5
15,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,142,24,0,2069.0,0.0,76.0,0.0,2069.0,3.1
16,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,82,21,0,1389.0,0.0,73.0,0.0,1389.0,1.7
17,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,165,0,29,0.0,3470.0,0.0,65.0,-3470.0,4.2
18,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,184,32,0,3431.0,0.0,80.0,0.0,3431.0,7.0
19,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,329,0,24,0.0,2265.0,0.0,32.0,-2265.0,6.2
20,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,195,28,0,5539.0,0.0,96.0,0.0,5539.0,7.8
21,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,174,32,0,5009.0,0.0,92.0,0.0,5009.0,5.5
22,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,204,0,36,0.0,5872.0,0.0,84.0,-5872.0,8.0
23,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,179,0,30,0.0,4973.0,0.0,94.0,-4973.0,7.0
24,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,187,24,0,2194.0,0.0,76.0,0.0,2194.0,4.5
25,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,268,0,29,0.0,5773.0,0.0,73.0,-5773.0,8.9
26,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,161,29,0,1857.0,0.0,81.0,0.0,1857.0,4.8
27,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,112,21,0,1642.0,0.0,58.0,0.0,1642.0,2.7
28,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,149,28,0,2012.0,0.0,72.0,0.0,2012.0,4.0
29,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,186,35,0,2770.0,0.0,79.0,0.0,2770.0,8.2
