seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec
0,sub2,sub2,1,0,1.0,-1.0,249,32,0,5649.0,0.0,88.0,0.0,5649.0,34.4
1,sub2,sub2,1,0,1.0,-1.0,171,29,0,4049.0,0.0,69.0,0.0,4049.0,11.4
2,sub2,sub2,1,0,1.0,-1.0,229,32,0,6605.0,0.0,60.0,0.0,6605.0,23.9
3,sub2,sub2,0,0,-1.0,1.0,235,0,28,0.0,4073.0,0.0,100.0,-4073.0,25.6
4,sub2,sub2,1,0,1.0,-1.0,217,36,0,4814.0,0.0,104.0,0.0,4814.0,28.4
5,sub2,sub2,1,0,1.0,-1.0,200,24,0,3555.0,0.0,60.0,0.0,3555.0,11.0
6,sub2,sub2,1,0,1.0,-1.0,282,36,0,4947.0,0.0,84.0,0.0,4947.0,47.5
7,sub2,sub2,1,0,1.0,-1.0,377,34,0,18579.0,0.0,74.0,0.0,18579.0,27.2
8,sub2,sub2,0,0,-1.0,1.0,299,0,32,0.0,3792.0,0.0,84.0,-3792.0,61.8
9,sub2,sub2,1,0,1.0,-1.0,276,31,0,4007.0,0.0,59.0,0.0,4007.0,35.6
10,sub2,sub2,1,0,1.0,-1.0,196,32,0,4155.0,0.0,80.0,0.0,4155.0,21.4
11,sub2,sub2,0,0,-1.0,1.0,154,0,32,0.0,4307.0,0.0,96.0,-4307.0,17.0
12,sub2,sub2,1,0,1.0,-1.0,253,36,0,7632.0,0.0,80.0,0.0,7632.0,36.1
13,sub2,sub2,1,0,1.0,-1.0,169,29,0,4600.0,0.0,81.0,0.0,4600.0,14.6
14,sub2,sub2,1,0,1.0,-1.0,191,24,0,2496.0,0.0,60.0,0.0,2496.0,11.9
15,sub2,sub2,0,0,-1.0,1.0,136,0,34,0.0,2971.0,0.0,90.0,-2971.0,18.0
16,sub2,sub2,1,0,1.0,-1.0,214,28,0,4805.0,0.0,72.0,0.0,4805.0,17.5
17,sub2,sub2,0,0,-1.0,1.0,154,0,34,0.0,5737.0,0.0,114.0,-5737.0,21.7
18,sub2,sub2,1,0,1.0,-1.0,252,28,0,5480.0,0.0,88.0,0.0,5480.0,30.0
19,sub2,sub2,1,0,1.0,-1.0,176,27,0,3399.0,0.0,75.0,0.0,3399.0,14.7
