seed,reward_our,reward_sub,win,draw,steps,match_time_sec,final_ships_diff,final_prod_diff,final_n_diff,max_ships_diff,min_ships_diff,max_lead_turn,min_lead_turn,first_lead_turn,first_lag_turn,lead_changes,avg_ships_diff_q1,avg_ships_diff_q2,avg_ships_diff_q3,avg_ships_diff_q4,avg_ratio_q1,avg_ratio_q2,avg_ratio_q3,avg_ratio_q4,dominance_area,mid_game_lead,turn_total_war
2,1,-1,1,0,183,8.8,2799,64,28,2799,-34,182,88,5,18,13,16.7,67.8,452.9,1595.6,0.674,0.635,0.67,0.943,100771,27,0
0,1,-1,1,0,170,9.0,1645,52,25,1645,-55,169,31,6,13,11,3.0,124.6,165.5,790.3,0.52,0.695,0.642,0.904,47084,83,0
1,1,-1,1,0,139,12.0,4283,96,32,4283,-4,138,6,2,5,5,21.4,260.7,701.2,2611.6,0.663,0.745,0.769,0.982,130061,555,0
6,1,-1,1,0,166,5.2,2090,58,26,2090,-27,165,19,23,19,3,3.9,33.4,166.1,1187.5,0.542,0.637,0.848,0.967,59402,40,0
8,-1,1,0,0,141,8.8,-803,-64,-24,315,-803,52,140,2,5,14,56.9,162.1,-105.9,-276.1,0.644,0.661,0.42,0.227,-5979,-139,0
5,-1,1,0,0,144,16.3,-2150,-76,-36,126,-2150,37,143,2,4,8,34.6,7.6,-148.7,-718.8,0.652,0.516,0.362,0.073,-29710,-53,0
4,-1,1,0,0,184,26.4,-943,-116,-32,410,-1032,71,176,2,11,20,77.0,112.7,-56.7,-441.8,0.66,0.554,0.468,0.294,-14204,-41,0
7,-1,1,0,0,182,16.9,-2836,-88,-28,433,-2906,69,180,2,3,16,40.4,216.7,-122.6,-863.1,0.667,0.622,0.443,0.148,-34518,48,0
9,-1,1,0,0,140,7.7,-763,-72,-24,258,-763,74,139,2,5,12,29.2,111.4,-64.7,-417.1,0.653,0.639,0.434,0.122,-11941,-20,0
11,1,-1,1,0,156,7.3,2402,58,26,2402,-21,155,30,5,21,5,5.4,162.6,341.8,1458.9,0.555,0.791,0.722,0.962,76780,362,0
3,1,-1,1,0,261,36.8,3006,60,40,3006,-90,260,102,2,5,23,63.1,157.0,91.5,1448.9,0.644,0.614,0.546,0.916,115875,215,0
12,1,-1,1,0,155,13.3,3689,92,32,3711,-18,151,31,2,3,9,1.2,157.9,426.9,2292.3,0.487,0.717,0.744,0.966,116254,213,0
14,1,-1,1,0,162,9.7,1840,64,28,2366,-23,154,47,6,5,9,4.3,74.7,263.6,1555.8,0.529,0.634,0.693,0.978,79048,205,0
10,1,-1,1,0,156,19.3,2846,92,40,2846,-17,155,44,2,7,9,14.9,49.1,405.7,1592.0,0.616,0.607,0.652,0.853,80407,117,0
15,-1,1,0,0,109,8.7,-2828,-80,-28,236,-2828,50,108,3,5,10,26.9,126.1,-173.7,-1165.9,0.608,0.667,0.395,0.067,-33204,147,0
13,-1,1,0,0,187,23.7,-858,-92,-28,445,-919,95,181,5,13,20,38.4,84.6,68.7,-367.9,0.625,0.545,0.524,0.337,-9209,81,0
18,-1,1,0,0,252,12.2,-476,-48,-20,236,-553,127,245,16,9,32,-2.1,58.9,40.4,-193.5,0.485,0.61,0.533,0.342,-6066,170,0
16,-1,1,0,0,148,16.3,-1593,-80,-32,304,-1593,86,147,2,3,14,35.3,204.5,3.3,-598.2,0.688,0.682,0.503,0.205,-13137,132,0
19,-1,1,0,0,146,14.8,-2159,-92,-32,334,-2159,82,145,4,15,10,29.7,116.3,16.8,-661.3,0.612,0.675,0.504,0.16,-19266,183,0
20,1,-1,1,0,129,7.3,1960,60,36,1960,-13,128,19,9,2,3,3.3,89.8,196.9,1079.5,0.504,0.811,0.833,0.996,44901,246,0
21,1,-1,1,0,141,10.7,3630,92,32,3630,-17,140,12,14,12,5,18.3,116.8,394.5,2111.4,0.573,0.682,0.712,0.973,94548,123,0
24,-1,1,0,0,134,9.0,-532,-68,-32,40,-676,72,128,2,18,12,0.9,-34.7,-122.5,-421.3,0.536,0.37,0.355,0.065,-19904,-12,0
22,-1,1,0,0,160,13.8,-1582,-80,-32,215,-1836,83,146,5,39,10,10.6,102.0,-69.1,-698.4,0.594,0.644,0.479,0.129,-26193,-44,0
17,-1,1,0,0,212,29.0,-654,-80,-32,471,-824,133,204,2,8,32,19.7,248.3,110.6,-285.9,0.564,0.653,0.541,0.335,4912,172,0
26,-1,1,0,0,105,6.5,-524,-58,-27,41,-524,43,104,10,2,10,1.0,12.3,-34.8,-207.5,0.471,0.56,0.406,0.143,-6163,15,0
25,-1,1,0,0,122,11.8,-1420,-96,-32,351,-1420,66,121,2,8,4,17.0,121.5,-37.7,-559.8,0.649,0.724,0.491,0.137,-14887,253,0
23,1,-1,1,0,222,19.2,3675,60,32,3675,-18,221,5,6,2,3,53.1,272.6,336.6,1999.6,0.646,0.748,0.729,0.984,150403,199,0
28,-1,1,0,0,154,9.1,-880,-62,-30,77,-880,48,153,2,11,20,6.3,3.6,-139.9,-497.4,0.572,0.541,0.378,0.086,-24836,-33,0
29,-1,1,0,0,202,8.6,-560,-65,-27,31,-625,88,200,16,18,24,2.9,8.8,-15.9,-346.8,0.523,0.603,0.458,0.047,-18251,-7,0
30,1,-1,1,0,199,9.3,2431,44,24,2431,0,198,0,2,-1,3,30.8,108.3,367.5,1443.5,0.738,0.729,0.776,0.986,99885,58,0
31,-1,1,0,0,214,10.0,-1864,-36,-20,98,-1864,66,213,23,20,12,-7.4,-10.4,-67.4,-734.6,0.437,0.47,0.36,0.04,-44918,-37,0
27,1,-1,1,0,199,26.2,5763,96,36,5763,-6,198,9,2,3,7,99.5,443.5,868.8,3464.5,0.672,0.691,0.75,0.982,249332,593,0
34,1,-1,1,0,150,11.6,4199,80,40,4199,-8,149,31,13,20,7,4.3,130.4,433.9,2730.1,0.536,0.781,0.805,0.987,127510,197,0
33,1,-1,1,0,237,18.5,3992,76,28,3992,-5,236,50,2,50,3,24.3,149.5,397.2,2018.2,0.747,0.753,0.716,0.939,154777,326,0
35,1,-1,1,0,205,16.5,4093,68,28,4093,-16,204,5,6,2,3,61.6,163.0,452.4,2448.8,0.701,0.767,0.799,0.986,161865,173,0
32,-1,1,0,0,194,26.1,-2851,-104,-36,430,-2851,63,193,2,13,14,63.7,217.9,-126.6,-762.5,0.738,0.627,0.439,0.218,-30691,61,0
36,-1,1,0,0,140,13.7,-557,-63,-27,205,-557,89,139,2,8,14,9.0,75.1,75.5,-320.6,0.589,0.671,0.561,0.186,-5638,66,0
37,-1,1,0,0,151,13.0,-528,-88,-24,175,-678,109,145,6,4,30,3.8,-16.0,-5.4,-376.5,0.508,0.487,0.498,0.209,-15714,70,0
39,1,-1,1,0,158,13.0,2254,56,32,2254,-27,157,40,7,14,17,0.5,65.7,426.2,1450.2,0.493,0.586,0.741,0.944,78660,276,0
40,1,-1,1,0,191,11.5,3849,76,24,3849,-1,190,4,3,4,3,46.7,480.0,982.3,2147.5,0.716,0.691,0.79,0.97,178294,797,0
38,1,-1,1,0,161,16.3,2563,64,36,2563,-7,160,2,3,2,1,39.4,203.7,404.2,1455.6,0.696,0.669,0.677,0.957,85572,262,0
41,1,-1,1,0,124,9.5,5061,96,40,5061,-2,123,13,2,13,5,8.4,229.2,1149.0,3657.5,0.675,0.846,0.896,0.999,156367,651,0
