seed,reward_our,reward_sub,win,draw,steps,ships_our_final,ships_sub_final,ships_diff,time_sec,phase,trial,w_activity_weight,w_idle_floor,w_distance_comfort,w_risk_tolerance,w_ships_weight,w_eta_bonus,w_priority_bonus,w_stress_top_k,w_stress_gamma
5,-1,1,0,0,125,0,316,-316,5.34,0,-1,,,,,,,,,
7,-1,1,0,0,135,0,459,-459,8.01,0,-1,,,,,,,,,
8,-1,1,0,0,157,0,3284,-3284,8.95,0,-1,,,,,,,,,
12,-1,1,0,0,130,0,656,-656,7.86,0,-1,,,,,,,,,
1,1,-1,1,0,169,2532,0,2532,19.28,0,-1,,,,,,,,,
9,-1,1,0,0,173,0,2974,-2974,20.63,0,-1,,,,,,,,,
10,-1,1,0,0,164,0,565,-565,19.21,0,-1,,,,,,,,,
11,1,-1,1,0,196,4253,0,4253,18.12,0,-1,,,,,,,,,
20,1,-1,1,0,152,3228,0,3228,8.17,0,-1,,,,,,,,,
13,1,-1,1,0,199,3898,0,3898,22.63,0,-1,,,,,,,,,
19,-1,1,0,0,150,0,1453,-1453,15.11,0,-1,,,,,,,,,
16,1,-1,1,0,244,6852,0,6852,21.76,0,-1,,,,,,,,,
21,1,-1,1,0,164,591,0,591,7.45,0,-1,,,,,,,,,
17,1,-1,1,0,213,6246,0,6246,23.3,0,-1,,,,,,,,,
23,-1,1,0,0,153,0,585,-585,14.6,0,-1,,,,,,,,,
26,1,-1,1,0,158,2236,0,2236,11.15,0,-1,,,,,,,,,
25,-1,1,0,0,155,0,644,-644,16.75,0,-1,,,,,,,,,
22,-1,1,0,0,173,0,3192,-3192,25.18,0,-1,,,,,,,,,
24,1,-1,1,0,194,4829,0,4829,24.95,0,-1,,,,,,,,,
31,-1,1,0,0,211,0,695,-695,13.97,0,-1,,,,,,,,,
30,-1,1,0,0,165,0,1693,-1693,18.29,0,-1,,,,,,,,,
27,1,-1,1,0,198,4735,0,4735,20.75,0,-1,,,,,,,,,
34,1,-1,1,0,173,4026,0,4026,14.74,0,-1,,,,,,,,,
40,1,-1,1,0,206,3125,0,3125,16.52,0,-1,,,,,,,,,
37,-1,1,0,0,180,0,1181,-1181,23.49,0,-1,,,,,,,,,
42,1,-1,1,0,215,5750,0,5750,19.95,0,-1,,,,,,,,,
41,1,-1,1,0,246,2897,0,2897,21.73,0,-1,,,,,,,,,
43,-1,1,0,0,185,0,808,-808,21.09,0,-1,,,,,,,,,
46,-1,1,0,0,198,0,2497,-2497,11.98,0,-1,,,,,,,,,
47,1,-1,1,0,156,2588,0,2588,7.41,0,-1,,,,,,,,,
51,-1,1,0,0,151,0,2243,-2243,6.28,0,-1,,,,,,,,,
49,-1,1,0,0,143,0,1775,-1775,19.76,0,-1,,,,,,,,,
45,1,-1,1,0,283,5188,0,5188,29.59,0,-1,,,,,,,,,
52,-1,1,0,0,171,0,1376,-1376,17.33,0,-1,,,,,,,,,
50,-1,1,0,0,185,0,701,-701,21.73,0,-1,,,,,,,,,
56,-1,1,0,0,129,0,551,-551,7.95,0,-1,,,,,,,,,
53,1,-1,1,0,353,5001,0,5001,23.94,0,-1,,,,,,,,,
55,-1,1,0,0,165,0,657,-657,14.09,0,-1,,,,,,,,,
60,1,-1,1,0,140,4160,0,4160,10.09,0,-1,,,,,,,,,
54,1,-1,1,0,201,5477,0,5477,24.61,0,-1,,,,,,,,,
65,-1,1,0,0,130,0,1456,-1456,9.82,0,-1,,,,,,,,,
61,-1,1,0,0,152,0,555,-555,18.79,0,-1,,,,,,,,,
62,1,-1,1,0,238,3971,0,3971,17.77,0,-1,,,,,,,,,
63,-1,1,0,0,157,0,760,-760,17.59,0,-1,,,,,,,,,
66,-1,1,0,0,114,0,1337,-1337,9.84,0,-1,,,,,,,,,
57,-1,1,0,0,211,0,3392,-3392,42.58,0,-1,,,,,,,,,
68,-1,1,0,0,149,0,1118,-1118,24.08,0,-1,,,,,,,,,
67,1,-1,1,0,254,6599,0,6599,29.31,0,-1,,,,,,,,,
69,-1,1,0,0,157,0,2605,-2605,25.93,0,-1,,,,,,,,,
5,-1,1,0,0,97,0,874,-874,5.61,1,0,1.0555,23.0,0.3875,1.0,2.0594,25.4623,1.8467,4.0,0.6952
5,1,-1,1,0,157,3246,0,3246,9.14,1,1,2.8721,10.0,0.1847,1.0,5.7909,10.3654,2.4471,3.0,0.6405
