seed,reward_our,reward_sub,win,draw,steps,ships_our_final,ships_sub_final,ships_diff,time_sec,phase,trial
8,1,-1,1,0,300,910,9,901,5.94,0,-1
7,1,-1,1,0,300,9618,2752,6866,11.03,0,-1
1,1,-1,1,0,300,6244,806,5438,15.04,0,-1
12,1,-1,1,0,86,379,0,379,1.34,0,-1
9,1,-1,1,0,300,3126,416,2710,16.44,0,-1
10,1,-1,1,0,300,7083,619,6464,11.25,0,-1
11,1,-1,1,0,300,910,207,703,6.34,0,-1
5,1,-1,1,0,300,10959,2316,8643,17.45,0,-1
13,1,-1,1,0,84,371,0,371,1.26,0,-1
17,1,-1,1,0,300,910,207,703,5.12,0,-1
20,1,-1,1,0,300,6577,999,5578,10.69,0,-1
21,1,-1,1,0,300,6476,589,5887,10.65,0,-1
22,1,-1,1,0,300,6610,467,6143,10.37,0,-1
16,1,-1,1,0,300,4169,2586,1583,16.26,0,-1
23,1,-1,1,0,300,910,207,703,5.95,0,-1
24,1,-1,1,0,300,1433,63,1370,7.63,0,-1
25,1,-1,1,0,300,910,209,701,3.91,0,-1
27,1,-1,1,0,300,910,202,708,4.36,0,-1
19,1,-1,1,0,300,11178,545,10633,21.88,0,-1
37,1,-1,1,0,82,1368,0,1368,2.55,0,-1
31,1,-1,1,0,112,2212,0,2212,5.71,0,-1
34,1,-1,1,0,300,6923,575,6348,7.47,0,-1
30,1,-1,1,0,300,2481,166,2315,10.25,0,-1
40,1,-1,1,0,300,910,9,901,7.78,0,-1
42,1,-1,1,0,300,1728,6,1722,6.48,0,-1
26,1,-1,1,0,300,7533,2612,4921,19.85,0,-1
45,1,-1,1,0,300,910,9,901,4.14,0,-1
41,1,-1,1,0,300,10882,1019,9863,12.44,0,-1
43,1,-1,1,0,300,5164,296,4868,9.37,0,-1
46,1,-1,1,0,115,2909,0,2909,4.41,0,-1
50,1,-1,1,0,117,3597,0,3597,5.63,0,-1
51,1,-1,1,0,300,6569,366,6203,8.06,0,-1
52,1,-1,1,0,175,3991,0,3991,9.35,0,-1
47,1,-1,1,0,300,7656,2081,5575,15.7,0,-1
49,1,-1,1,0,300,12188,629,11559,15.41,0,-1
55,1,-1,1,0,300,910,6,904,5.57,0,-1
57,1,-1,1,0,300,910,9,901,6.03,0,-1
53,1,-1,1,0,256,5652,0,5652,19.37,0,-1
56,1,-1,1,0,203,4249,0,4249,13.65,0,-1
54,1,-1,1,0,300,8650,3090,5560,18.93,0,-1
61,1,-1,1,0,300,9757,708,9049,9.29,0,-1
60,1,-1,1,0,300,8247,2160,6087,17.29,0,-1
66,1,-1,1,0,300,910,9,901,5.67,0,-1
62,1,-1,1,0,300,7919,1456,6463,10.82,0,-1
65,1,-1,1,0,300,11626,668,10958,9.99,0,-1
63,1,-1,1,0,300,6725,485,6240,11.04,0,-1
67,1,-1,1,0,300,910,204,706,7.02,0,-1
68,1,-1,1,0,300,11253,885,10368,14.4,0,-1
69,1,-1,1,0,300,6320,1173,5147,16.87,0,-1
2,1,-1,1,0,300,910,9,901,6.18,-1,-1
14,1,-1,1,0,199,6230,0,6230,8.14,-1,-1
18,1,-1,1,0,78,825,0,825,2.07,-1,-1
4,1,-1,1,0,300,3124,622,2502,10.26,-1,-1
28,1,-1,1,0,134,2100,0,2100,6.02,-1,-1
6,1,-1,1,0,300,8060,2062,5998,16.66,-1,-1
15,1,-1,1,0,300,8483,3007,5476,14.06,-1,-1
29,1,-1,1,0,300,3400,491,2909,11.39,-1,-1
32,1,-1,1,0,300,1765,9,1756,5.86,-1,-1
3,1,-1,1,0,300,10023,1471,8552,22.47,-1,-1
33,1,-1,1,0,300,15585,720,14865,10.97,-1,-1
36,1,-1,1,0,300,910,211,699,6.17,-1,-1
38,-1,1,0,0,156,0,3383,-3383,8.51,-1,-1
35,1,-1,1,0,300,6830,475,6355,10.8,-1,-1
58,1,-1,1,0,49,196,0,196,0.81,-1,-1
48,1,-1,1,0,106,2135,0,2135,4.0,-1,-1
39,1,-1,1,0,300,8541,604,7937,12.93,-1,-1
59,1,-1,1,0,300,910,204,706,4.48,-1,-1
70,1,-1,1,0,155,3072,0,3072,5.42,-1,-1
44,1,-1,1,0,300,10180,284,9896,13.26,-1,-1
64,1,-1,1,0,300,4829,760,4069,16.15,-1,-1
