candidate_a_idx,candidate_a_name,candidate_b_idx,candidate_b_name,match_id,seed,points_a,points_b,win_a,draw,win_b,reward_our,reward_sub,ships_our_final,ships_sub_final,ships_diff,steps,match_time_sec
0,default,1,winner_seed4,2,1102,0.0,1.0,0,0,1,-1,1,0,2806,-2806,203,7.1
0,default,1,winner_seed4,4,1104,0.0,1.0,0,0,1,-1,1,0,3782,-3782,218,8.6
0,default,1,winner_seed4,1,1101,1.0,0.0,1,0,0,1,-1,2174,0,2174,267,11.5
0,default,1,winner_seed4,0,1100,0.0,1.0,0,0,1,-1,1,0,1667,-1667,299,17.9
0,default,1,winner_seed4,3,1103,0.0,1.0,0,0,1,-1,1,0,3362,-3362,345,23.9
0,default,1,winner_seed4,5,1105,1.0,0.0,1,0,0,1,-1,4542,0,4542,348,17.9
0,default,1,winner_seed4,6,1106,0.0,1.0,0,0,1,-1,1,0,2055,-2055,297,18.3
0,default,1,winner_seed4,8,1108,1.0,0.0,1,0,0,1,-1,3094,0,3094,243,14.2
0,default,1,winner_seed4,9,1109,0.0,1.0,0,0,1,-1,1,0,2831,-2831,204,9.6
0,default,1,winner_seed4,7,1107,1.0,0.0,1,0,0,1,-1,4301,0,4301,338,25.8
0,default,1,winner_seed4,13,1113,1.0,0.0,1,0,0,1,-1,2070,0,2070,242,6.5
0,default,1,winner_seed4,11,1111,0.0,1.0,0,0,1,-1,1,0,2279,-2279,229,14.0
0,default,1,winner_seed4,12,1112,0.0,1.0,0,0,1,-1,1,0,3115,-3115,225,9.0
0,default,1,winner_seed4,16,1116,0.0,1.0,0,0,1,-1,1,0,3229,-3229,173,6.1
0,default,1,winner_seed4,17,1117,1.0,0.0,1,0,0,1,-1,2365,0,2365,192,6.1
0,default,1,winner_seed4,10,1110,1.0,0.0,1,0,0,1,-1,4152,0,4152,305,23.4
0,default,1,winner_seed4,15,1115,1.0,0.0,1,0,0,1,-1,3989,0,3989,227,9.4
0,default,2,winner_seed11,0,1200,0.0,1.0,0,0,1,-1,1,0,2878,-2878,189,7.1
0,default,1,winner_seed4,14,1114,1.0,0.0,1,0,0,1,-1,2785,0,2785,280,19.1
