seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec,sr_30,pr_30,sr_100,pr_100,sr_200,pr_200,sr_final,pr_final
2,baseline,sub2,0,0,-1.0,1.0,136,0,32,0.0,3405.0,0.0,84.0,-3405.0,12.2,0.47393364928909953,0.5714285714285714,0.16022356776897997,0.07042253521126761,0.0,0.0,0.0,0.0
0,baseline,sub2,0,0,-1.0,1.0,153,0,24,0.0,3258.0,0.0,76.0,-3258.0,13.5,0.44074074074074077,0.5263157894736842,0.3642996108949416,0.3880597014925373,0.0,0.0,0.0,0.0
1,baseline,sub2,1,0,1.0,-1.0,167,32,0,5458.0,0.0,92.0,0.0,5458.0,20.7,0.5818181818181818,0.6176470588235294,0.7109443954104149,0.6067415730337079,1.0,1.0,1.0,1.0
6,baseline,sub2,1,0,1.0,-1.0,150,32,0,6768.0,0.0,96.0,0.0,6768.0,11.2,0.7044534412955465,0.6818181818181818,0.898932112890923,0.9791666666666666,1.0,1.0,1.0,1.0
3,baseline,sub2,1,0,1.0,-1.0,188,32,0,3667.0,0.0,76.0,0.0,3667.0,26.4,0.6368159203980099,0.5,0.6016355140186916,0.6119402985074627,1.0,1.0,1.0,1.0
8,baseline,sub2,1,0,1.0,-1.0,153,36,0,1660.0,0.0,56.0,0.0,1660.0,9.2,0.78,0.5,0.8805031446540881,0.9117647058823529,1.0,1.0,1.0,1.0
5,baseline,sub2,0,0,-1.0,1.0,171,0,40,0.0,4510.0,0.0,108.0,-4510.0,24.9,0.4934210526315789,0.5,0.491345397324941,0.3854166666666667,0.0,0.0,0.0,0.0
9,baseline,sub2,0,0,-1.0,1.0,168,0,28,0.0,2651.0,0.0,76.0,-2651.0,13.6,0.5398230088495575,0.5769230769230769,0.46637211585665195,0.4,0.0,0.0,0.0,0.0
11,baseline,sub2,1,0,1.0,-1.0,114,11,0,458.0,0.0,21.0,0.0,458.0,3.2,0.4864864864864865,0.8,0.9487870619946092,0.9444444444444444,1.0,1.0,1.0,1.0
13,baseline,sub2,1,0,1.0,-1.0,217,28,0,4396.0,0.0,76.0,0.0,4396.0,17.6,0.4635036496350365,0.64,0.5584950029394474,0.6176470588235294,0.9895272292040694,1.0,1.0,1.0
