seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec,sr_30,pr_30,sr_100,pr_100,sr_200,pr_200,sr_final,pr_final
4,new_baseline,sub2,1,0,1.0,-1.0,147,32,0,4547.0,0.0,76.0,0.0,4547.0,11.1,0.7589743589743589,0.625,0.7580786026200873,0.8552631578947368,1.0,1.0,1.0,1.0
3,new_baseline,sub2,1,0,1.0,-1.0,142,32,0,4123.0,0.0,80.0,0.0,4123.0,14.6,0.5773584905660377,0.6111111111111112,0.7749210645015787,0.8,1.0,1.0,1.0,1.0
1,new_baseline,sub2,1,0,1.0,-1.0,206,24,0,3458.0,0.0,56.0,0.0,3458.0,17.5,0.5874125874125874,0.5833333333333334,0.5737808739708676,0.5892857142857143,0.9969240233774224,1.0,1.0,1.0
0,new_baseline,sub2,0,0,-1.0,1.0,206,0,32,0.0,4513.0,0.0,92.0,-4513.0,29.4,0.5333333333333333,0.5,0.47291419533412415,0.41304347826086957,0.00413625304136253,0.0,0.0,0.0
2,new_baseline,sub2,1,0,1.0,-1.0,500,19,1,11537.0,646.0,40.0,4.0,10891.0,30.8,0.5789473684210527,0.4090909090909091,0.4342379958246347,0.5227272727272727,0.6088534107402032,0.6590909090909091,0.9469752934416811,0.9090909090909091
5,new_baseline,sub2,1,0,1.0,-1.0,218,32,0,5741.0,0.0,84.0,0.0,5741.0,26.8,0.5756578947368421,0.5263157894736842,0.5935124176381146,0.6351351351351351,0.9931475559616263,1.0,1.0,1.0
6,new_baseline,sub2,1,0,1.0,-1.0,244,28,0,5039.0,0.0,76.0,0.0,5039.0,27.7,0.4627659574468085,0.5833333333333334,0.5100334448160535,0.4473684210526316,0.8934594816947758,0.9078947368421053,1.0,1.0
7,new_baseline,sub2,0,0,-1.0,1.0,197,0,36,0.0,3035.0,0.0,80.0,-3035.0,28.6,0.5151515151515151,0.4,0.4884182660489742,0.45588235294117646,0.0,0.0,0.0,0.0
8,new_baseline,sub2,0,0,-1.0,1.0,148,0,32,0.0,3001.0,0.0,104.0,-3001.0,19.8,0.5375722543352601,0.5625,0.4548802946593002,0.49038461538461536,0.0,0.0,0.0,0.0
10,new_baseline,sub2,0,0,-1.0,1.0,151,0,28,0.0,3449.0,0.0,88.0,-3449.0,16.9,0.536115569823435,0.43902439024390244,0.35160851835070234,0.42045454545454547,0.0,0.0,0.0,0.0
