seed,w_ships,w_n_cross,w_wnn_close_res,reward_our,reward_sub,win,draw,steps,ships_our_final,ships_sub_final,ships_diff,match_time_sec,round
1,-1.0,0.3,-0.8,1,-1,1,0,156,3241,0,3241,7.6,0
0,-1.0,0.3,-0.4,-1,1,0,0,128,0,788,-788,8.2,0
1,-1.0,0.3,0.4,1,-1,1,0,147,2938,0,2938,5.0,0
0,-1.0,0.3,-0.8,1,-1,1,0,154,2174,0,2174,15.5,0
0,-1.0,0.3,0.4,-1,1,0,0,156,0,566,-566,17.6,0
1,-1.0,0.3,-0.4,1,-1,1,0,172,3277,0,3277,17.7,0
0,-1.0,0.5,-0.8,1,-1,1,0,157,4993,0,4993,10.4,0
0,-1.0,0.3,0.8,1,-1,1,0,321,2131,0,2131,17.9,0
1,-1.0,0.5,-0.8,1,-1,1,0,193,3833,0,3833,8.9,0
0,-1.0,0.5,0.4,1,-1,1,0,120,3455,0,3455,7.3,0
1,-1.0,0.5,0.4,1,-1,1,0,113,4126,0,4126,7.1,0
1,-1.0,0.3,0.8,1,-1,1,0,218,4799,0,4799,29.9,0
0,-1.0,0.5,-0.4,-1,1,0,0,194,0,2945,-2945,25.1,0
1,-1.0,0.5,0.8,1,-1,1,0,158,5423,0,5423,11.1,0
1,-1.0,0.5,-0.4,1,-1,1,0,199,4418,0,4418,21.0,0
0,-1.0,0.5,0.8,1,-1,1,0,193,2959,0,2959,15.0,0
1,-1.0,0.7,-0.8,1,-1,1,0,145,1840,0,1840,5.7,0
0,-1.0,0.7,-0.4,1,-1,1,0,155,3716,0,3716,8.7,0
1,-1.0,0.7,0.4,-1,1,0,0,150,0,428,-428,11.1,0
1,-1.0,0.7,-0.4,-1,1,0,0,170,0,1120,-1120,13.8,0
0,-1.0,0.7,0.4,-1,1,0,0,182,0,640,-640,14.4,0
1,-1.0,0.9,-0.8,1,-1,1,0,187,2303,0,2303,11.7,0
1,-1.0,0.7,0.8,1,-1,1,0,178,5269,0,5269,15.6,0
0,-1.0,0.9,-0.8,1,-1,1,0,241,2926,0,2926,15.1,0
0,-1.0,0.7,-0.8,-1,1,0,0,288,0,926,-926,36.4,0
0,-1.0,0.9,-0.4,1,-1,1,0,163,2823,0,2823,8.8,0
0,-1.0,0.9,0.4,1,-1,1,0,192,2359,0,2359,17.2,0
1,-1.0,0.9,0.4,-1,1,0,0,153,0,851,-851,14.6,0
1,-1.0,0.9,-0.4,1,-1,1,0,219,2669,0,2669,20.4,0
0,-1.0,0.9,0.8,1,-1,1,0,276,3341,0,3341,18.5,0
1,-1.0,0.9,0.8,-1,1,0,0,159,0,1006,-1006,11.5,0
1,-1.0,1.1,-0.8,1,-1,1,0,171,5591,0,5591,13.2,0
