seed,w_late_aggression,reward_our,reward_sub,win,draw,steps,ships_our_final,ships_sub_final,n_our_final,n_sub_final,match_time_sec
4,0.0,1,-1,1,0,184,3783,0,32,0,11.5
2,0.0,1,-1,1,0,186,3132,0,28,0,15.5
0,0.0,-1,1,0,0,146,0,1590,0,32,16.7
1,0.0,1,-1,1,0,281,6139,0,27,0,20.1
3,0.0,1,-1,1,0,227,6210,0,32,0,21.0
8,0.0,-1,1,0,0,124,0,1613,0,20,4.1
7,0.0,1,-1,1,0,184,2440,0,20,0,8.5
9,0.0,1,-1,1,0,170,2665,0,23,0,7.0
5,0.0,-1,1,0,0,127,0,853,0,36,16.7
6,0.0,1,-1,1,0,150,5858,0,36,0,14.9
0,0.3,-1,1,0,0,138,0,392,0,18,6.9
2,0.3,-1,1,0,0,163,0,1665,0,24,8.4
1,0.3,-1,1,0,0,124,0,762,0,32,12.0
5,0.3,-1,1,0,0,151,0,729,0,28,8.6
4,0.3,1,-1,1,0,135,3014,0,28,0,11.2
8,0.3,-1,1,0,0,135,0,788,0,24,10.0
6,0.3,-1,1,0,0,161,0,1088,0,36,14.9
7,0.3,-1,1,0,0,162,0,681,0,35,16.6
3,0.3,-1,1,0,0,186,0,2395,0,36,26.3
9,0.3,-1,1,0,0,135,0,695,0,39,13.1
2,0.6,1,-1,1,0,123,2404,0,20,0,4.8
0,0.6,-1,1,0,0,224,0,1114,0,28,15.6
4,0.6,1,-1,1,0,172,3502,0,32,0,11.2
1,0.6,1,-1,1,0,164,2284,0,34,0,14.5
3,0.6,1,-1,1,0,155,4552,0,36,0,13.7
5,0.6,1,-1,1,0,210,2510,0,28,0,13.6
6,0.6,1,-1,1,0,148,2986,0,28,0,13.4
8,0.6,-1,1,0,0,182,0,2229,0,32,14.8
7,0.6,1,-1,1,0,265,1691,0,21,0,14.9
0,0.9,1,-1,1,0,179,3077,0,24,0,10.0
2,0.9,-1,1,0,0,126,0,353,0,24,6.6
1,0.9,1,-1,1,0,243,3677,0,20,0,12.1
9,0.6,1,-1,1,0,202,3643,0,36,0,28.1
3,0.9,1,-1,1,0,253,4172,0,28,0,20.4
7,0.9,-1,1,0,0,169,0,951,0,24,10.1
4,0.9,-1,1,0,0,210,0,811,0,32,26.4
6,0.9,-1,1,0,0,195,0,7102,0,32,20.9
8,0.9,-1,1,0,0,166,0,3192,0,32,14.3
9,0.9,-1,1,0,0,187,0,679,0,28,14.4
2,1.2,1,-1,1,0,201,2662,0,24,0,12.4
1,1.2,1,-1,1,0,176,3845,0,36,0,16.3
3,1.2,1,-1,1,0,166,4283,0,28,0,8.5
0,1.2,-1,1,0,0,193,0,4221,0,36,21.5
5,0.9,1,-1,1,0,500,15220,1246,28,4,43.0
7,1.2,-1,1,0,0,136,0,1762,0,28,9.5
4,1.2,1,-1,1,0,149,4927,0,32,0,12.1
5,1.2,1,-1,1,0,198,4990,0,36,0,15.5
8,1.2,-1,1,0,0,205,0,866,0,28,16.1
9,1.2,-1,1,0,0,151,0,481,0,27,15.7
6,1.2,1,-1,1,0,255,5174,0,32,0,27.1
