seed,w_wnn_close_res,w_mean_dist_all,w_ships,reward_our,reward_sub,win,draw,steps,ships_our_final,ships_sub_final,n_our_final,n_sub_final,match_time_sec
3,0.2,-0.8,-0.9,1,-1,1,0,121,2479,0,28,0,7.9
0,0.2,-0.8,-0.9,1,-1,1,0,172,7127,0,40,0,9.1
4,0.2,-0.8,-0.9,1,-1,1,0,162,5488,0,36,0,15.8
6,0.2,-0.8,-0.9,-1,1,0,0,226,0,2938,0,24,15.1
5,0.2,-0.8,-0.9,1,-1,1,0,218,3079,0,32,0,20.3
2,0.2,-0.8,-0.9,-1,1,0,0,227,0,5278,0,36,30.3
9,0.2,-0.8,-0.9,-1,1,0,0,147,0,991,0,24,6.4
7,0.2,-0.8,-0.9,-1,1,0,0,173,0,1435,0,36,19.3
1,0.2,-0.8,-0.9,1,-1,1,0,256,4851,0,32,0,36.1
8,0.2,-0.8,-0.9,-1,1,0,0,123,0,3204,0,36,13.4
0,0.2,-0.8,-0.7,1,-1,1,0,182,5095,0,24,0,7.5
1,0.2,-0.8,-0.7,-1,1,0,0,218,0,309,0,20,13.0
4,0.2,-0.8,-0.7,1,-1,1,0,163,3190,0,35,0,11.8
2,0.2,-0.8,-0.7,1,-1,1,0,181,3266,0,34,0,17.4
6,0.2,-0.8,-0.7,1,-1,1,0,155,3965,0,36,0,7.4
3,0.2,-0.8,-0.7,-1,1,0,0,149,0,687,0,32,20.0
7,0.2,-0.8,-0.7,1,-1,1,0,132,4518,0,28,0,7.5
8,0.2,-0.8,-0.7,1,-1,1,0,165,2023,0,31,0,5.6
9,0.2,-0.8,-0.7,1,-1,1,0,132,2438,0,20,0,4.5
1,0.2,-0.8,-0.5,-1,1,0,0,132,0,2690,0,32,13.1
3,0.2,-0.8,-0.5,1,-1,1,0,150,3680,0,32,0,10.8
5,0.2,-0.8,-0.7,-1,1,0,0,262,0,1519,0,40,37.3
2,0.2,-0.8,-0.5,1,-1,1,0,144,4437,0,36,0,18.7
4,0.2,-0.8,-0.5,1,-1,1,0,128,3750,0,28,0,7.6
0,0.2,-0.8,-0.5,1,-1,1,0,207,6474,0,36,0,21.8
5,0.2,-0.8,-0.5,-1,1,0,0,144,0,688,0,28,12.9
9,0.2,-0.8,-0.5,-1,1,0,0,112,0,399,0,21,5.5
1,0.2,-0.8,-0.3,-1,1,0,0,134,0,630,0,24,6.4
0,0.2,-0.8,-0.3,-1,1,0,0,141,0,3556,0,28,10.4
8,0.2,-0.8,-0.5,-1,1,0,0,185,0,1315,0,32,17.5
6,0.2,-0.8,-0.5,1,-1,1,0,211,4302,0,32,0,21.2
7,0.2,-0.8,-0.5,-1,1,0,0,196,0,1735,0,40,23.5
4,0.2,-0.8,-0.3,1,-1,1,0,136,1795,0,23,0,7.0
2,0.2,-0.8,-0.3,1,-1,1,0,209,5970,0,40,0,15.2
3,0.2,-0.8,-0.3,-1,1,0,0,132,0,635,0,34,12.6
6,0.2,-0.8,-0.3,-1,1,0,0,144,0,2912,0,28,9.9
5,0.2,-0.8,-0.3,-1,1,0,0,133,0,985,0,32,15.3
7,0.2,-0.8,-0.3,-1,1,0,0,135,0,967,0,32,11.6
8,0.2,-0.8,-0.3,-1,1,0,0,136,0,862,0,28,10.8
9,0.2,-0.8,-0.3,1,-1,1,0,182,4413,0,28,0,10.0
0,0.2,-0.8,0.0,1,-1,1,0,143,4235,0,24,0,6.5
2,0.2,-0.8,0.0,-1,1,0,0,122,0,985,0,24,9.9
1,0.2,-0.8,0.0,1,-1,1,0,166,2796,0,30,0,13.6
3,0.2,-0.8,0.0,1,-1,1,0,156,2867,0,20,0,9.7
7,0.2,-0.8,0.0,-1,1,0,0,106,0,340,0,24,4.6
6,0.2,-0.8,0.0,1,-1,1,0,126,2506,0,28,0,7.5
8,0.2,-0.8,0.0,1,-1,1,0,139,3056,0,32,0,13.6
0,0.2,-0.8,1.0,1,-1,1,0,155,4154,0,32,0,8.7
4,0.2,-0.8,0.0,-1,1,0,0,233,0,4419,0,32,29.7
1,0.2,-0.8,1.0,-1,1,0,0,113,0,584,0,29,8.6
5,0.2,-0.8,0.0,-1,1,0,0,221,0,2697,0,36,32.0
9,0.2,-0.8,0.0,1,-1,1,0,211,3488,0,36,0,21.9
5,0.2,-0.8,1.0,1,-1,1,0,143,3832,0,24,0,5.8
4,0.2,-0.8,1.0,1,-1,1,0,146,2181,0,33,0,8.6
6,0.2,-0.8,1.0,1,-1,1,0,129,2745,0,32,0,4.9
2,0.2,-0.8,1.0,1,-1,1,0,190,3015,0,32,0,18.5
3,0.2,-0.8,1.0,-1,1,0,0,156,0,1536,0,39,15.3
8,0.2,-0.8,1.0,-1,1,0,0,137,0,785,0,23,6.1
9,0.2,-0.8,1.0,-1,1,0,0,118,0,754,0,24,7.3
7,0.2,-0.8,1.0,1,-1,1,0,164,3723,0,32,0,17.2
1,0.2,-0.6,-0.9,-1,1,0,0,166,0,1466,0,28,11.2
0,0.2,-0.6,-0.9,1,-1,1,0,203,3687,0,32,0,18.9
3,0.2,-0.6,-0.9,-1,1,0,0,155,0,471,0,33,14.8
2,0.2,-0.6,-0.9,1,-1,1,0,172,5966,0,40,0,19.3
4,0.2,-0.6,-0.9,-1,1,0,0,169,0,4574,0,32,13.1
8,0.2,-0.6,-0.9,1,-1,1,0,178,3341,0,22,0,8.5
6,0.2,-0.6,-0.9,-1,1,0,0,164,0,1217,0,36,15.0
7,0.2,-0.6,-0.9,-1,1,0,0,167,0,720,0,37,17.2
9,0.2,-0.6,-0.9,1,-1,1,0,122,4030,0,36,0,12.1
0,0.2,-0.6,-0.7,-1,1,0,0,163,0,3038,0,24,9.2
5,0.2,-0.6,-0.9,1,-1,1,0,235,7345,0,36,0,28.3
4,0.2,-0.6,-0.7,1,-1,1,0,149,6764,0,32,0,8.8
1,0.2,-0.6,-0.7,-1,1,0,0,178,0,780,0,32,18.8
2,0.2,-0.6,-0.7,1,-1,1,0,165,4601,0,32,0,17.3
3,0.2,-0.6,-0.7,-1,1,0,0,179,0,1214,0,36,17.6
5,0.2,-0.6,-0.7,1,-1,1,0,160,4173,0,40,0,14.6
9,0.2,-0.6,-0.7,-1,1,0,0,126,0,591,0,24,9.3
0,0.2,-0.6,-0.5,1,-1,1,0,135,5669,0,36,0,12.0
7,0.2,-0.6,-0.7,1,-1,1,0,154,2939,0,40,0,18.9
8,0.2,-0.6,-0.7,-1,1,0,0,169,0,2260,0,36,18.0
3,0.2,-0.6,-0.5,1,-1,1,0,120,2677,0,24,0,4.8
6,0.2,-0.6,-0.7,1,-1,1,0,244,2292,0,32,0,29.6
5,0.2,-0.6,-0.5,-1,1,0,0,124,0,1334,0,24,7.4
2,0.2,-0.6,-0.5,-1,1,0,0,159,0,5001,0,36,18.4
4,0.2,-0.6,-0.5,1,-1,1,0,240,6084,0,28,0,21.9
1,0.2,-0.6,-0.5,1,-1,1,0,284,5848,0,28,0,29.7
7,0.2,-0.6,-0.5,1,-1,1,0,151,4476,0,36,0,13.2
6,0.2,-0.6,-0.5,1,-1,1,0,225,3649,0,28,0,19.3
2,0.2,-0.6,-0.3,-1,1,0,0,141,0,43,0,8,3.4
0,0.2,-0.6,-0.3,-1,1,0,0,116,0,694,0,24,7.2
8,0.2,-0.6,-0.5,-1,1,0,0,144,0,3191,0,40,16.2
1,0.2,-0.6,-0.3,-1,1,0,0,172,0,377,0,21,7.6
4,0.2,-0.6,-0.3,1,-1,1,0,115,2148,0,24,0,4.9
6,0.2,-0.6,-0.3,1,-1,1,0,114,2987,0,32,0,4.4
7,0.2,-0.6,-0.3,-1,1,0,0,131,0,771,0,24,9.5
3,0.2,-0.6,-0.3,1,-1,1,0,197,3260,0,36,0,16.3
9,0.2,-0.6,-0.5,-1,1,0,0,222,0,2525,0,28,24.2
5,0.2,-0.6,-0.3,-1,1,0,0,152,0,650,0,40,19.8
9,0.2,-0.6,-0.3,1,-1,1,0,162,3806,0,24,0,7.7
0,0.2,-0.6,0.0,-1,1,0,0,118,0,2849,0,24,6.4
8,0.2,-0.6,-0.3,1,-1,1,0,286,3076,0,20,0,16.1
1,0.2,-0.6,0.0,-1,1,0,0,145,0,1372,0,24,8.6
3,0.2,-0.6,0.0,-1,1,0,0,119,0,126,0,12,4.1
2,0.2,-0.6,0.0,1,-1,1,0,144,4649,0,32,0,10.3
6,0.2,-0.6,0.0,-1,1,0,0,123,0,2526,0,24,7.0
5,0.2,-0.6,0.0,-1,1,0,0,133,0,4096,0,32,12.0
7,0.2,-0.6,0.0,-1,1,0,0,141,0,623,0,28,10.9
9,0.2,-0.6,0.0,-1,1,0,0,109,0,492,0,27,5.4
4,0.2,-0.6,0.0,-1,1,0,0,159,0,936,0,31,17.3
8,0.2,-0.6,0.0,-1,1,0,0,166,0,1312,0,32,10.0
2,0.2,-0.6,1.0,-1,1,0,0,166,0,358,0,22,7.2
1,0.2,-0.6,1.0,-1,1,0,0,130,0,1094,0,32,8.3
0,0.2,-0.6,1.0,-1,1,0,0,137,0,4160,0,40,16.4
3,0.2,-0.6,1.0,1,-1,1,0,182,3426,0,29,0,13.3
6,0.2,-0.6,1.0,-1,1,0,0,155,0,336,0,20,8.0
4,0.2,-0.6,1.0,-1,1,0,0,183,0,968,0,32,16.2
7,0.2,-0.6,1.0,1,-1,1,0,171,1949,0,25,0,8.4
5,0.2,-0.6,1.0,-1,1,0,0,182,0,581,0,29,19.1
9,0.2,-0.6,1.0,-1,1,0,0,122,0,726,0,32,10.9
3,0.2,-0.4,-0.9,1,-1,1,0,110,4665,0,32,0,5.7
0,0.2,-0.4,-0.9,1,-1,1,0,163,4422,0,32,0,13.4
2,0.2,-0.4,-0.9,1,-1,1,0,154,3138,0,28,0,12.8
4,0.2,-0.4,-0.9,-1,1,0,0,155,0,425,0,25,10.3
8,0.2,-0.6,1.0,1,-1,1,0,213,7109,0,36,0,30.1
1,0.2,-0.4,-0.9,1,-1,1,0,213,5796,0,40,0,27.5
