seed,w_wnn_close_res,w_mean_dist_all,w_ships,reward_our,reward_sub,win,draw,steps,ships_our_final,ships_sub_final,ships_diff,match_time_sec,round
0,0.2,-0.8,-0.9,-1,1,0,0,125,0,1488,-1488,12.6,0
0,0.2,-0.8,-0.5,1,-1,1,0,156,3779,0,3779,13.1,0
1,0.2,-0.8,-0.7,1,-1,1,0,174,2237,0,2237,13.4,0
1,0.2,-0.8,-0.9,-1,1,0,0,191,0,2325,-2325,20.5,0
1,0.2,-0.8,-0.5,-1,1,0,0,125,0,462,-462,9.1,0
1,0.2,-0.8,-0.3,1,-1,1,0,156,3613,0,3613,12.1,0
0,0.2,-0.8,-0.7,-1,1,0,0,183,0,753,-753,26.5,0
0,0.2,-0.8,-0.1,-1,1,0,0,139,0,4939,-4939,11.1,0
1,0.2,-0.6,-0.9,1,-1,1,0,128,4001,0,4001,5.9,0
0,0.2,-0.8,-0.3,1,-1,1,0,256,2732,0,2732,20.9,0
1,0.2,-0.8,-0.1,1,-1,1,0,157,3934,0,3934,16.5,0
0,0.2,-0.6,-0.7,-1,1,0,0,184,0,3444,-3444,9.4,0
1,0.2,-0.6,-0.5,-1,1,0,0,146,0,632,-632,7.2,0
1,0.2,-0.6,-0.3,-1,1,0,0,135,0,721,-721,7.0,0
0,0.2,-0.6,-0.9,-1,1,0,0,274,0,1518,-1518,32.9,0
1,0.2,-0.6,-0.7,-1,1,0,0,185,0,659,-659,26.2,0
0,0.2,-0.6,-0.5,-1,1,0,0,242,0,2753,-2753,24.7,0
0,0.2,-0.6,-0.3,1,-1,1,0,193,3439,0,3439,18.4,0
0,0.2,-0.6,-0.1,-1,1,0,0,156,0,734,-734,16.1,0
1,0.2,-0.6,-0.1,-1,1,0,0,152,0,1023,-1023,11.7,0
1,0.2,-0.4,-0.9,1,-1,1,0,214,3954,0,3954,16.8,0
0,0.2,-0.4,-0.9,-1,1,0,0,208,0,1713,-1713,21.7,0
1,0.2,-0.4,-0.5,-1,1,0,0,116,0,947,-947,5.4,0
1,0.2,-0.4,-0.7,-1,1,0,0,202,0,1045,-1045,17.6,0
0,0.2,-0.4,-0.7,-1,1,0,0,254,0,813,-813,27.3,0
1,0.2,-0.4,-0.3,1,-1,1,0,140,3380,0,3380,7.1,0
0,0.2,-0.2,-0.9,1,-1,1,0,121,2053,0,2053,8.6,0
0,0.2,-0.4,-0.5,1,-1,1,0,248,3787,0,3787,28.1,0
0,0.2,-0.4,-0.1,-1,1,0,0,177,0,925,-925,14.1,0
1,0.2,-0.4,-0.1,1,-1,1,0,251,4832,0,4832,18.7,0
0,0.2,-0.4,-0.3,-1,1,0,0,193,0,1927,-1927,25.5,0
0,0.2,-0.2,-0.7,-1,1,0,0,135,0,1114,-1114,8.2,0
1,0.2,-0.2,-0.9,-1,1,0,0,147,0,711,-711,10.3,0
1,0.2,-0.2,-0.7,-1,1,0,0,219,0,3822,-3822,13.5,0
1,0.2,-0.2,-0.3,1,-1,1,0,149,1054,0,1054,8.3,0
1,0.2,-0.2,-0.5,1,-1,1,0,176,3340,0,3340,16.5,0
0,0.2,-0.2,-0.5,1,-1,1,0,159,5004,0,5004,17.7,0
0,0.2,-0.2,-0.1,-1,1,0,0,168,0,2598,-2598,12.5,0
0,0.2,-0.2,-0.3,1,-1,1,0,241,6444,0,6444,23.0,0
0,0.4,-0.8,-0.9,1,-1,1,0,134,3938,0,3938,7.8,0
1,0.4,-0.8,-0.9,1,-1,1,0,194,4742,0,4742,9.9,0
0,0.4,-0.8,-0.7,1,-1,1,0,144,4818,0,4818,10.7,0
1,0.2,-0.2,-0.1,-1,1,0,0,222,0,748,-748,24.2,0
1,0.4,-0.8,-0.7,1,-1,1,0,176,2911,0,2911,14.8,0
0,0.4,-0.8,-0.5,-1,1,0,0,227,0,929,-929,17.5,0
0,0.4,-0.8,-0.3,-1,1,0,0,207,0,2572,-2572,12.9,0
1,0.4,-0.8,-0.5,-1,1,0,0,168,0,1255,-1255,18.2,0
1,0.4,-0.8,-0.3,-1,1,0,0,140,0,2549,-2549,11.9,0
0,0.4,-0.6,-0.9,1,-1,1,0,138,2875,0,2875,9.6,0
1,0.4,-0.8,-0.1,1,-1,1,0,225,4911,0,4911,18.6,0
0,0.4,-0.8,-0.1,1,-1,1,0,217,5856,0,5856,22.2,0
1,0.4,-0.6,-0.9,-1,1,0,0,179,0,2395,-2395,19.8,0
0,0.4,-0.6,-0.5,1,-1,1,0,152,2094,0,2094,6.9,0
1,0.4,-0.6,-0.7,1,-1,1,0,216,2635,0,2635,18.3,0
1,0.4,-0.6,-0.5,-1,1,0,0,127,0,1342,-1342,12.3,0
0,0.4,-0.6,-0.3,-1,1,0,0,167,0,956,-956,11.6,0
1,0.4,-0.6,-0.3,-1,1,0,0,195,0,437,-437,13.5,0
0,0.4,-0.6,-0.7,-1,1,0,0,301,0,1855,-1855,35.3,0
0,0.4,-0.4,-0.7,1,-1,1,0,102,640,0,640,3.2,0
1,0.4,-0.6,-0.1,1,-1,1,0,214,4334,0,4334,14.5,0
0,0.4,-0.4,-0.9,1,-1,1,0,183,4582,0,4582,11.5,0
0,0.4,-0.6,-0.1,1,-1,1,0,183,6401,0,6401,18.0,0
0,0.4,-0.4,-0.5,1,-1,1,0,152,4326,0,4326,8.3,0
1,0.4,-0.4,-0.5,-1,1,0,0,180,0,575,-575,13.9,0
1,0.4,-0.4,-0.7,-1,1,0,0,173,0,1951,-1951,19.9,0
0,0.4,-0.4,-0.3,1,-1,1,0,192,4078,0,4078,15.7,0
1,0.4,-0.4,-0.1,-1,1,0,0,115,0,535,-535,8.3,0
0,0.4,-0.4,-0.1,-1,1,0,0,162,0,922,-922,13.1,0
1,0.4,-0.4,-0.9,-1,1,0,0,265,0,3417,-3417,35.1,0
1,0.4,-0.2,-0.9,-1,1,0,0,157,0,2579,-2579,10.1,0
0,0.4,-0.2,-0.9,-1,1,0,0,183,0,3422,-3422,18.1,0
1,0.4,-0.2,-0.7,1,-1,1,0,164,3173,0,3173,9.7,0
0,0.4,-0.2,-0.7,1,-1,1,0,187,3096,0,3096,13.0,0
1,0.4,-0.4,-0.3,-1,1,0,0,267,0,1378,-1378,33.2,0
0,0.4,-0.2,-0.5,-1,1,0,0,147,0,1407,-1407,13.8,0
0,0.4,-0.2,-0.3,1,-1,1,0,145,2988,0,2988,16.1,0
1,0.4,-0.2,-0.1,-1,1,0,0,126,0,675,-675,6.2,0
0,0.4,-0.2,-0.1,1,-1,1,0,197,2733,0,2733,17.9,0
1,0.6,-0.8,-0.9,1,-1,1,0,137,4757,0,4757,5.3,0
1,0.4,-0.2,-0.5,1,-1,1,0,252,4502,0,4502,26.0,0
1,0.4,-0.2,-0.3,-1,1,0,0,194,0,959,-959,23.6,0
0,0.6,-0.8,-0.9,-1,1,0,0,154,0,684,-684,15.4,0
1,0.6,-0.8,-0.5,1,-1,1,0,137,2753,0,2753,10.6,0
1,0.6,-0.8,-0.7,-1,1,0,0,155,0,501,-501,15.3,0
0,0.6,-0.8,-0.3,-1,1,0,0,127,0,2904,-2904,7.4,0
0,0.6,-0.8,-0.5,-1,1,0,0,159,0,1909,-1909,15.1,0
1,0.6,-0.8,-0.1,1,-1,1,0,156,3916,0,3916,11.6,0
0,0.6,-0.6,-0.9,-1,1,0,0,133,0,919,-919,11.6,0
0,0.6,-0.8,-0.7,-1,1,0,0,256,0,1028,-1028,33.4,0
1,0.6,-0.6,-0.9,1,-1,1,0,137,4304,0,4304,6.9,0
0,0.6,-0.8,-0.1,1,-1,1,0,191,5200,0,5200,22.5,0
